Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17
						21,220	5,306	7,967	21,220	6,376	6,964	21,220	5,938	8,581																															10,610	0,796	2,737			
						21,240	5,312	8,020	21,240	6,382	6,948	21,240	5,943	8,549																															10,620	0,722	2,739			
						21,260	5,317	8,071	21,260	6,388	6,932	21,260	5,949	8,516																															10,630	0,826	2,744			
						21,280	5,323	8,122	21,280	6,393	6,916	21,280	5,955	8,484																															10,640	0,751	2,746			
						21,300	5,329	8,171	21,300	6,399	6,902	21,300	5,960	8,449																															10,650	0,853	2,748			
						21,320	5,334	8,210	21,320	6,405	6,888	21,320	5,966	8,415																															10,660	0,778	2,750			
						21,340	5,340	8,241	21,340	6,411	6,875	21,340	5,972	8,380																															10,670	0,882	2,753			
						21,360	5,345	8,314	21,360	6,417	6,863	21,360	5,978	8,344																															10,680	0,808	2,755			
						21,380	5,352	8,363	21,380	6,422	6,851	21,380	5,984	8,318																															10,690	0,915	2,758			
						21,400	5,357	8,409	21,400	6,427	6,862	21,400	5,990	8,271																															10,700	0,837	2,761			
						21,420	5,363	8,457	21,420	6,433	6,874	21,420	5,995	8,230																															10,710	0,949	2,764			
						21,440	5,369	8,505	21,440	6,439	6,830	21,440	6,001	8,190																															10,720	0,871	2,767			
						21,460	5,375	8,553	21,460	6,444	6,825	21,460	6,006	8,151																															10,730	0,981	2,769			
						21,480	5,380	8,600	21,480	6,451	6,823	21,480	6,012	8,111																															10,740	0,900	2,771			
						21,500	5,386	8,648	21,500	6,456	6,825	21,500	6,018	8,069																															10,750	1,013	2,773			
						21,520	5,392	8,695	21,520	6,462	6,828	21,520	6,024	8,028																															10,760	0,935	2,777			
						21,540	5,397	8,743	21,540	6,468	6,834	21,540	6,029	7,986																															10,770	1,051	2,779			
						21,560	5,403	8,790	21,560	6,474	6,843	21,560	6,035	7,945																															10,780	0,971	2,782			
						21,580	5,409	8,836	21,580	6,479	6,853	21,580	6,041	7,904																															10,790	1,084	2,784			
						21,600	5,415	8,882	21,600	6,485	6,865	21,600	6,047	7,864																															10,800	1,005	2,787			
						21,620	5,420	8,926	21,620	6,491	6,878	21,620	6,053	7,825																															10,810	1,124	2,789			
						21,640	5,426	8,970	21,640	6,496	6,892	21,640	6,058	7,786																															10,820	1,046	2,792			
						21,660	5,432	9,014	21,660	6,502	6,908	21,660	6,065	7,753																															10,830	1,166	2,796			
						21,680	5,437	9,055	21,680	6,507	6,924	21,680	6,070	7,721																															10,840	1,084	2,797			
						21,700	5,443	9,106	21,700	6,513	6,940	21,700	6,075	7,694																															10,850	1,201	2,800			
						21,720	5,449	9,136	21,720	6,519	6,957	21,720	6,082	7,672																															10,860	1,118	2,802			
						21,740	5,455	9,174	21,740	6,524	6,972	21,740	6,087	7,665																															10,870	1,238	2,804			
						21,760	5,460	9,211	21,760	6,530	6,989	21,760	6,093	7,652																															10,880	1,156	2,807			
						21,780	5,466	9,246	21,780	6,536	6,991	21,780	6,099	7,632																															10,890	1,280	2,810			
						21,800	5,472	9,281	21,800	6,542	7,017	21,800	6,104	7,626																															10,900	1,201	2,812			
						21,820	5,477	9,315	21,820	6,547	7,031	21,820	6,110	7,624																															10,910	1,324	2,815			
						21,840	5,483	9,347	21,840	6,553	7,044	21,840	6,117	7,623																															10,920	1,245	2,818			
						21,860	5,489	9,378	21,860	6,558	7,056	21,860	6,122	7,621																															10,930	1,370	2,821			
						21,880	5,495	9,409	21,880	6,564	7,069	21,880	6,127	7,619																															10,940	1,288	2,823			
						21,900	5,501	9,438	21,900	6,570	7,083	21,900	6,133	7,615																															10,950	1,415	2,827			
						21,920	5,507	9,466	21,920	6,575	7,096	21,920	6,139	7,607																															10,960	1,336	2,830			
						21,940	5,512	9,494	21,940	6,581	7,110	21,940	6,145	7,596																															10,970	1,458	2,832			
						21,960	5,518	9,521	21,960	6,587	7,124	21,960	6,151	7,582																															10,980	1,373	2,834			
						21,980	5,524	9,546	21,980	6,592	7,140	21,980	6,157	7,563																															10,990	1,499	2,837			
						22,000	5,529	9,570	22,000	6,598	7,158	22,000	6,162	7,541																															11,000	1,414	2,839			
						22,020	5,535	9,593	22,020	6,604	7,177	22,020	6,168	7,516																															11,010	1,538	2,842			
						22,040	5,541	9,615	22,040	6,609	7,198	22,040	6,174	7,488																															11,020	1,454	2,845			
						22,060	5,546	9,630	22,060	6,615	7,221	22,060	6,179	7,457																															11,030	1,581	2,848			
						22,080	5,552	9,655	22,080	6,621	7,243	22,080	6,185	7,425																															11,040	1,495	2,850			
						22,100	5,558	9,681	22,100	6,627	7,268	22,100	6,191	7,389																															11,050	1,620	2,853			
						22,120	5,564	9,703	22,120	6,632	7,293	22,120	6,197	7,399																															11,060	1,533	2,856			
						22,140	5,570	9,724	22,140	6,638	7,288	22,140	6,203	7,316																															11,070	1,654	2,858			
						22,160	5,575	9,745	22,160	6,643	7,338	22,160	6,208	7,272																															11,080	1,564	2,860			
						22,180	5,581	9,763	22,180	6,649	7,381	22,180	6,214	7,231																															11,090	1,688	2,863			
						22,200	5,587	9,780	22,200	6,655	7,412	22,200	6,220	7,190																															11,100	1,598	2,866			
						22,220	5,592	9,795	22,220	6,661	7,444	22,220	6,226	7,148																															11,110	1,720	2,869			
						22,240	5,598	9,810	22,240	6,666	7,476	22,240	6,231	7,109																															11,120	1,627	2,871			
						22,260	5,604	9,824	22,260	6,672	7,511	22,260	6,237	7,069																															11,130	1,748	2,873			
						22,280	5,609	9,836	22,280	6,678	7,544	22,280	6,243	7,031																															11,140	1,654	2,876			
						22,300	5,616	9,848	22,300	6,684	7,579	22,300	6,248	6,995																															11,150	1,775	2,880			
						22,320	5,621	9,858	22,320	6,689	7,614	22,320	6,254	6,962																															11,160	1,676	2,882			
						22,340	5,626	9,869	22,340	6,695	7,651	22,340	6,259	6,933																															11,170	1,793	2,884			
						22,360	5,632	9,878	22,360	6,701	7,688	22,360	6,265	6,909																															11,180	1,692	2,887			
						22,380	5,638	9,887	22,380	6,706	7,725	22,380	6,271	6,890																															11,190	1,810	2,890			
						22,400	5,643	9,894	22,400	6,711	7,763	22,400	6,277	6,876																															11,200	1,708	2,892			
						22,420	5,649	9,901	22,420	6,718	7,803	22,420	6,282	6,868																															11,210	1,823	2,895			
						22,440	5,655	9,897	22,440	6,724	7,842	22,440	6,288	6,866																															11,220	1,718	2,898			
						22,460	5,660	9,913	22,460	6,729	7,882	22,460	6,294	6,868																															11,230	1,831	2,900			
						22,480	5,666	9,918	22,480	6,735	7,923	22,480	6,300	6,810																															11,240	1,725	2,903			
						22,500	5,672	9,922	22,500	6,740	7,963	22,500	6,305	6,862																															11,250	1,836	2,905			
						22,520	5,678	9,926	22,520	6,746	8,042	22,520	6,312	6,894																															11,260	1,729	2,908			
						22,540	5,683	9,929	22,540	6,752	8,050	22,540	6,317	6,907																															11,270	1,839	2,911			
						22,560	5,689	9,931	22,560	6,758	8,092	22,560	6,323	6,917																															11,280	1,728	2,913			
						22,580	5,695	9,934	22,580	6,764	8,137	22,580	6,328	6,926																															11,290	1,836	2,915			
						22,600	5,700	9,936	22,600	6,769	8,181	22,600	6,335	6,932																															11,300	1,723	2,918			
						22,620	5,706	9,937	22,620	6,775	8,230	22,620	6,340	6,935																															11,310	1,831	2,921			
						22,640	5,712	9,938	22,640	6,781	8,277	22,640	6,346	6,934																															11,320	1,717	2,923			
						22,660	5,718	9,938	22,660	6,786	8,327	22,660	6,351	6,932																															11,330	1,819	2,926			
						22,680	5,723	9,938	22,680	6,792	8,375	22,680	6,357	6,925																															11,340	1,709	2,929			
						22,700	5,730	9,938	22,700	6,798	8,427	22,700	6,363	6,916																															11,350	1,807	2,931			
						22,720	5,734	9,937	22,720	6,803	8,479	22,720	6,368	6,904																															11,360	1,694	2,933			
						22,740	5,741	9,937	22,740	6,809	8,531	22,740	6,374	6,891																															11,370	1,790	2,937			
						22,760	5,746	9,936	22,760	6,815	8,586	22,760	6,380	6,876																															11,380	1,674	2,939			
						22,780	5,752	9,934	22,780	6,820	8,639	22,780	6,386	6,862																															11,390	1,771	2,942			
						22,800	5,758	9,935	22,800	6,826	8,695	22,800	6,392	6,847																															11,400	1,655	2,944			
						22,820	5,764	9,936	22,820	6,832	8,752	22,820	6,397	6,830																															11,410	1,747	2,947			
						22,840	5,770	9,928	22,840	6,837	8,809	22,840	6,403	6,815																															11,420	1,627	2,949			
						22,860	5,775	9,925	22,860	6,843	8,869	22,860	6,409	6,811																															11,430	1,719	2,952			
						22,880	5,780	9,920	22,880	6,849	8,887	22,880	6,415	6,789																															11,440	1,599	2,954			
						22,900	5,787	9,916	22,900	6,854	8,982	22,900	6,421	6,777																															11,450	1,689	2,957			
						22,920	5,792	9,911	22,920	6,860	9,051	22,920	6,426	6,767																															11,460	1,566	2,960			
						22,940	5,798	9,905	22,940	6,866	9,114	22,940	6,432	6,760																															11,470	1,655	2,962			
						22,960	5,804	9,899	22,960	6,871	9,176	22,960	6,438	6,754																															11,480	1,533	2,965			
						22,980	5,809	9,892	22,980	6,877	9,240	22,980	6,444	6,749																															11,490	1,620	2,967			
						23,000	5,815	9,884	23,000	6,882	9,304	23,000	6,449	6,748																															11,500	1,495	2,970			
						23,020	5,821	9,876	23,020	6,888	9,369	23,020	6,455	6,748																															11,510	1,583	2,972			
						23,040	5,826	9,865	23,040	6,893	9,435	23,040	6,461	6,749																															11,520	1,458	2,975			
						23,060	5,832	9,855	23,060	6,899	9,503	23,060	6,467	6,755																															11,530	1,544	2,978			
						23,080	5,838	9,844	23,080	6,905	9,572	23,080	6,473	6,763																															11,540	1,416	2,980			
						23,100	5,844	9,831	23,100	6,911	9,642	23,100	6,478	6,772																															11,550	1,502	2,983			
						23,120	5,849	9,818	23,120	6,916	9,710	23,120	6,484	6,783																															11,560	1,376	2,985			
						23,140	5,855	9,803	23,140	6,922	9,771	23,140	6,489	6,795																															11,570	1,463	2,989			
						23,160	5,861	9,782	23,160	6,927	9,824	23,160	6,495	6,808																															11,580	1,332	2,991			
						23,180	5,866	9,727	23,180	6,933	9,869	23,180	6,501	6,824																															11,590	1,417	2,994			
						23,200	5,872	9,748	23,200	6,939	9,910	23,200	6,507	6,840																															11,600	1,290	2,997			
						23,220	5,878	9,726	23,220	6,944	9,943	23,220	6,512	6,866																															11,610	1,375	3,000			
						23,240	5,883	9,700	23,240	6,950	9,968	23,240	6,518	6,875																															11,620	1,245	3,002			
						23,260	5,889	9,676	23,260	6,956	9,988	23,260	6,524	6,889																															11,630	1,332	3,004			
						23,280	5,895	9,651	23,280	6,962	9,992	23,280	6,530	6,905																															11,640	1,206	3,007			
						23,300	5,901	9,624	23,300	6,967	9,992	23,300	6,535	6,920																															11,650	1,294	3,010			
						23,320	5,907	9,597	23,320	6,973	9,992	23,320	6,541	6,935																															11,660	1,165	3,013			
						23,340	5,912	9,568	23,340	6,979	9,991	23,340	6,547	6,948																															11,670	1,250	3,015			
						23,360	5,918	9,538	23,360	6,985	9,991	23,360	6,553	6,962																															11,680	1,125	3,017			
						23,380	5,924	9,508	23,380	6,990	9,991	23,380	6,558	6,974																															11,690	1,213	3,020			
						23,400	5,930	9,477	23,400	6,996	9,991	23,400	6,563	6,986																															11,700	1,086	3,023			
						23,420	5,935	9,445	23,420	7,002	9,991	23,420	6,569	6,999																															11,710	1,175	3,026			
						23,440	5,940	9,414	23,440	7,007	9,991	23,440	6,575	7,013																															11,720	1,048	3,028			
						23,460	5,946	9,381	23,460	7,013	9,991	23,460	6,581	7,028																															11,730	1,135	3,031			
						23,480	5,952	9,348	23,480	7,019	9,991	23,480	6,586	7,043																															11,740	1,008	3,033			
						23,500	5,958	9,313	23,500	7,024	9,991	23,500	6,592	7,059																															11,750	1,097	3,036			
						23,520	5,963	9,278	23,520	7,030	9,991	23,520	6,598	7,077																															11,760	0,968	3,038			
						23,540	5,969	9,243	23,540	7,036	9,991	23,540	6,603	7,096																															11,770	1,057	3,041			
						23,560	5,974	9,207	23,560	7,042	9,991	23,560	6,610	7,116																															11,780	0,931	3,043			
						23,580	5,980	9,170	23,580	7,047	9,991	23,580	6,615	7,130																															11,790	1,022	3,047			
						23,600	5,986	9,133	23,600	7,053	9,991	23,600	6,621	7,143																															11,800	0,897	3,048			
						23,620	5,992	9,096	23,620	7,059	9,991	23,620	6,627	7,184																															11,810	0,991	3,051			
						23,640	5,998	9,059	23,640	7,064	9,991	23,640	6,632	7,211																															11,820	0,868	3,053			
						23,660	6,004	9,022	23,660	7,070	9,991	23,660	6,638	7,240																															11,830	0,961	3,055			
						23,680	6,009	8,988	23,680	7,075	9,991	23,680	6,644	7,268																															11,840	0,841	3,059			
						23,700	6,015	8,956	23,700	7,081	9,991	23,700	6,650	7,298																															11,850	0,933	3,061			
						23,720	6,020	8,925	23,720	7,087	9,991	23,720	6,655	7,328																															11,860	0,809	3,064			
						23,740	6,026	8,898	23,740	7,093	9,991	23,740	6,661	7,360																															11,870	0,911	3,066			
						23,760	6,032	8,876	23,760	7,099	9,991	23,760	6,666	7,392																															11,880	0,783	3,069			
						23,780	6,037	8,859	23,780	7,104	9,991	23,780	6,672	7,426																															11,890	0,886	3,072			
						23,800	6,043	8,847	23,800	7,110	9,991	23,800	6,678	7,461																															11,900	0,756	3,074			
						23,820	6,049	8,839	23,820	7,115	9,991	23,820	6,684	7,496																															11,910	0,862	3,076			
						23,840	6,055	8,835	23,840	7,121	9,991	23,840	6,689	7,532																															11,920	0,736	3,078			
						23,860	6,061	8,835	23,860	7,127	9,991	23,860	6,695	7,568																															11,930	0,845	3,081			
						23,880	6,066	8,836	23,880	7,132	9,991	23,880	6,701	7,605																															11,940	0,716	3,083			
						23,900	6,072	8,836	23,900	7,139	9,991	23,900	6,707	7,643																															11,950	0,823	3,086			
						23,920	6,077	8,838	23,920	7,144	9,991	23,920	6,713	7,682																															11,960	0,698	3,088			
						23,940	6,083	8,847	23,940	7,150	9,991	23,940	6,719	7,720																															11,970	0,806	3,091			
						23,960	6,089	8,849	23,960	7,155	9,991	23,960	6,724	7,792																															11,980	0,679	3,093			
						23,980	6,095	8,845	23,980	7,161	9,991	23,980	6,730	7,803																															11,990	0,789	3,095			
						24,000	6,101	8,840	24,000	7,166	9,991	24,000	6,736	7,841																															12,000	0,665	3,097			
						24,020	6,106	8,829	24,020	7,172	9,991	24,020	6,741	7,881																															12,010	0,775	3,100			
						24,040	6,112	8,813	24,040	7,178	9,991	24,040	6,747	7,923																															12,020	0,651	3,102			
						24,060	6,118	8,796	24,060	7,183	9,991	24,060	6,753	7,968																															12,030	0,762	3,105			
						24,080	6,123	8,775	24,080	7,188	9,991	24,080	6,758	8,012																															12,040	0,639	3,107			
						24,100	6,129	8,749	24,100	7,194	9,991	24,100	6,764	8,057																															12,050	0,750	3,108			
						24,120	6,135	8,722	24,120	7,200	9,991	24,120	6,770	8,103																															12,060	0,628	3,111			
						24,140	6,140	8,691	24,140	7,205	9,991	24,140	6,776	8,150																															12,070	0,741	3,113			
						24,160	6,146	8,658	24,160	7,211	9,991	24,160	6,782	8,198																															12,080	0,620	3,115			
						24,180	6,151	8,624	24,180	7,217	9,991	24,180	6,787	8,247																															12,090	0,735	3,118			
						24,200	6,157	8,588	24,200	7,223	9,991	24,200	6,793	8,297																															12,100	0,612	3,119			
						24,220	6,164	8,552	24,220	7,228	9,991	24,220	6,799	8,348																															12,110	0,728	3,122			
						24,240	6,169	8,514	24,240	7,234	9,991	24,240	6,805	8,399																															12,120	0,608	3,124			
						24,260	6,175	8,476	24,260	7,240	9,991	24,260	6,810	8,451																															12,130	0,722	3,125			
						24,280	6,181	8,471	24,280	7,245	9,991	24,280	6,816	8,506																															12,140	0,601	3,126			
						24,300	6,186	8,402	24,300	7,251	9,991	24,300	6,822	8,562																															12,150	0,718	3,128			
						24,320	6,192	8,361	24,320	7,257	9,991	24,320	6,828	8,617																															12,160	0,599	3,130			
						24,340	6,197	8,325	24,340	7,262	9,991	24,340	6,833	8,674																															12,170	0,716	3,131			
						24,360	6,203	8,290	24,360	7,268	9,991	24,360	6,839	8,732																															12,180	0,597	3,134			
						24,380	6,209	8,259	24,380	7,274	9,991	24,380	6,845	8,792																															12,190	0,714	3,135			
						24,400	6,214	8,230	24,400	7,279	9,991	24,400	6,850	8,852																															12,200	0,596	3,136			
						24,420	6,220	8,207	24,420	7,285	9,991	24,420	6,856	8,912																															12,210	0,714	3,138			
						24,440	6,226	8,190	24,440	7,291	9,991	24,440	6,862	8,973																															12,220	0,594	3,139			
						24,460	6,231	8,178	24,460	7,296	9,991	24,460	6,867	9,035																															12,230	0,712	3,140			
						24,480	6,238	8,173	24,480	7,302	9,991	24,480	6,873	9,098																															12,240	0,594	3,142			
						24,500	6,243	8,171	24,500	7,307	9,991	24,500	6,878	9,163																															12,250	0,711	3,143			
						24,520	6,249	8,176	24,520	7,313	9,991	24,520	6,884	9,227																															12,260	0,592	3,144			
						24,540	6,254	8,186	24,540	7,319	9,991	24,540	6,890	9,292																															12,270	0,711	3,145			
						24,560	6,260	8,198	24,560	7,325	9,991	24,560	6,895	9,359																															12,280	0,591	3,146			
						24,580	6,265	8,212	24,580	7,330	9,991	24,580	6,901	9,426																															12,290	0,712	3,147			
						24,600	6,271	8,227	24,600	7,336	9,991	24,600	6,907	9,495																															12,300	0,592	3,148			
						24,620	6,277	8,242	24,620	7,342	9,991	24,620	6,912	9,563																															12,310	0,713	3,149			
						24,640	6,282	8,229	24,640	7,347	9,991	24,640	6,918	9,635																															12,320	0,592	3,150			
						24,660	6,288	8,253	24,660	7,353	9,991	24,660	6,924	9,708																															12,330	0,712	3,150			
						24,680	6,294	8,273	24,680	7,359	9,991	24,680	6,930	9,768																															12,340	0,592	3,151			
						24,700	6,300	8,278	24,700	7,365	9,991	24,700	6,935	9,828																															12,350	0,713	3,152			
						24,720	6,305	8,278	24,720	7,370	9,991	24,720	6,941	9,864																															12,360	0,593	3,153			
						24,740	6,311	8,274	24,740	7,375	9,991	24,740	6,947	9,903																															12,370	0,713	3,153			
						24,760	6,316	8,268	24,760	7,381	9,991	24,760	6,952	9,938																															12,380	0,591	3,154			
						24,780	6,322	8,259	24,780	7,387	9,991	24,780	6,958	9,964																															12,390	0,713	3,154			
						24,800	6,328	8,247	24,800	7,393	9,991	24,800	6,964	9,985																															12,400	0,593	3,155			
						24,820	6,334	8,235				24,820	6,970	9,992																															12,410	0,714	3,155			
						24,840	6,339	8,222				24,840	6,975	9,992																															12,420	0,593	3,156			
						24,860	6,345	8,208				24,860	6,981	9,992																															12,430	0,714	3,156			
						24,880	6,351	8,195				24,880	6,987	9,991																															12,440	0,592	3,156			
						24,900	6,357	8,182				24,900	6,992	9,991																															12,450	0,713	3,156			
						24,920	6,362	8,170				24,920	6,998	9,991																															12,460	0,590	3,156			
						24,940	6,368	8,157				24,940	7,004	9,991																															12,470	0,712	3,156			
						24,960	6,374	8,148				24,960	7,010	9,991																															12,480	0,590	3,156			
						24,980	6,380	8,139				24,980	7,015	9,991																															12,490	0,712	3,156			
						25,000	6,385	8,132				25,000	7,021	9,991																															12,500	0,589	3,155			
						25,020	6,391	8,160				25,020	7,027	9,991																															12,510	0,707	3,156			
						25,040	6,396	8,123				25,040	7,032	9,991																															12,520	0,593	3,156			
						25,060	6,402	8,119				25,060	7,038	9,991																															12,530	0,708	3,156			
						25,080	6,408	8,119				25,080	7,044	9,991																															12,540	0,593	3,157			
						25,100	6,414	8,123				25,100	7,050	9,991																															12,550	0,707	3,155			
						25,120	6,419	8,129				25,120	7,056	9,991																															12,560	0,593	3,156			
						25,140	6,425	8,136				25,140	7,061	9,991																															12,570	0,708	3,156			
						25,160	6,431	8,146				25,160	7,067	9,991																															12,580	0,596	3,157			
						25,180	6,437	8,159				25,180	7,073	9,991																															12,590	0,718	3,159			
						25,200	6,442	8,173				25,200	7,078	9,991																															12,600	0,597	3,159			
						25,220	6,448	8,190				25,220	7,085	9,991																															12,610	0,716	3,160			
						25,240	6,453	8,206				25,240	7,089	9,991																															12,620	0,595	3,160			
						25,260	6,459	8,223				25,260	7,096	9,991																															12,630	0,711	3,159			
						25,280	6,464	8,242				25,280	7,101	9,991																															12,640	0,587	3,157			
						25,300	6,470	8,260				25,300	7,107	9,991																															12,650	0,704	3,156			
						25,320	6,476	8,278				25,320	7,113	9,991																															12,660	0,594	3,157			
						25,340	6,482	8,297				25,340	7,119	9,991																															12,670	0,719	3,160			
						25,360	6,488	8,315				25,360	7,124	9,991																															12,680	0,599	3,160			
						25,380	6,493	8,340				25,380	7,130	9,991																															12,690	0,713	3,160			
						25,400	6,499	8,348				25,400	7,136	9,991																															12,700	0,597	3,161			
						25,420	6,505	8,360				25,420	7,141	9,991																															12,710	0,713	3,161			
						25,440	6,511	8,375				25,440	7,147	9,991																															12,720	0,595	3,160			
						25,460	6,516	8,387				25,460	7,153	9,991																															12,730	0,712	3,160			
						25,480	6,522	8,401				25,480	7,158	9,991																															12,740	0,595	3,160			
						25,500	6,528	8,417				25,500	7,164	9,991																															12,750	0,710	3,160			
						25,520	6,534	8,430				25,520	7,170	9,991																															12,760	0,592	3,159			
						25,540	6,539	8,445				25,540	7,176	9,991																																				
						25,560	6,545	8,462				25,560	7,181	9,991																																				
						25,580	6,551	8,479				25,580	7,187	9,991																																				
						25,600	6,556	8,497				25,600	7,192	9,991																																				
						25,620	6,562	8,518				25,620	7,198	9,991																																				
						25,640	6,567	8,540				25,640	7,204	9,991																																				
						25,660	6,573	8,564				25,660	7,209	9,991																																				
						25,680	6,578	8,588				25,680	7,215	9,991																																				
						25,700	6,584	8,617				25,700	7,221	9,991																																				
						25,720	6,590	8,645				25,720	7,227	9,991																																				
						25,740	6,595	8,652				25,740	7,232	9,991																																				
						25,760	6,601	8,667				25,760	7,238	9,991																																				
						25,780	6,607	8,736				25,780	7,243	9,991																																				
						25,800	6,612	8,769				25,800	7,249	9,991																																				
						25,820	6,618	8,803				25,820	7,255	9,991																																				
						25,840	6,624	8,837				25,840	7,261	9,991																																				
						25,860	6,629	8,873				25,860	7,266	9,991																																				
						25,880	6,635	8,908				25,880	7,272	9,991																																				
						25,900	6,641	8,944				25,900	7,278	9,991																																				
						25,920	6,646	8,981				25,920	7,283	9,991																																				
						25,940	6,652	9,020				25,940	7,289	9,991																																				
						25,960	6,658	9,060				25,960	7,295	9,991																																				
						25,980	6,664	9,098				25,980	7,301	9,991																																				
						26,000	6,669	9,138				26,000	7,306	9,991																																				
						26,020	6,675	9,179				26,020	7,312	9,991																																				
						26,040	6,681	9,218				26,040	7,318	9,991																																				
						26,060	6,686	9,261				26,060	7,323	9,991																																				
						26,080	6,692	9,303				26,080	7,329	9,991																																				
						26,100	6,698	9,345				26,100	7,335	9,991																																				
						26,120	6,704	9,380				26,120	7,341	9,991																																				
						26,140	6,709	9,434				26,140	7,347	9,991																																				
						26,160	6,715	9,482																																										
						26,180	6,721	9,530																																										
						26,200	6,726	9,577																																										
						26,220	6,732	9,626																																										
						26,240	6,738	9,673																																										
						26,260	6,743	9,722																																										
						26,280	6,749	9,765																																										
						26,300	6,755	9,803																																										
						26,320	6,760	9,837																																										
						26,340	6,767	9,870																																										
						26,360	6,772	9,902																																										
						26,380	6,778	9,930																																										
						26,400	6,784	9,952																																										
						26,420	6,789	9,970																																										
						26,440	6,795	9,986																																										
						26,460	6,800	9,992																																										
						26,480	6,806	9,992																																										
						26,500	6,812	9,992																																										
						26,520	6,818	9,992																																										
						26,540	6,823	9,991																																										
						26,560	6,829	9,991																																										
						26,580	6,835	9,991																																										
						26,600	6,840	9,991																																										
						26,620	6,846	9,991																																										
						26,640	6,851	9,991																																										
						26,660	6,857	9,991																																										
						26,680	6,863	9,991																																										
						26,700	6,868	9,991																																										
						26,720	6,874	9,991																																										
						26,740	6,880	9,991																																										
						26,760	6,884	9,991																																										
						26,780	6,890	9,991																																										
						26,800	6,896	9,991																																										
						26,820	6,902	9,991																																										
						26,840	6,908	9,991																																										
						26,860	6,913	9,991																																										
						26,880	6,919	9,991																																										
						26,900	6,925	9,991																																										
						26,920	6,930	9,991																																										
						26,940	6,936	9,991																																										
						26,960	6,942	9,991																																										
						26,980	6,948	9,991																																										
						27,000	6,953	9,991																																										
						27,020	6,959	9,991																																										
						27,040	6,965	9,991																																										
						27,060	6,970	9,991																																										
						27,080	6,976	9,991																																										
						27,100	6,981	9,991																																										
						27,120	6,987	9,991																																										
						27,140	6,993	9,991																																										
						27,160	6,998	9,991																																										
						27,180	7,004	9,991																																										
						27,200	7,010	9,991																																										
						27,220	7,015	9,991																																										
						27,240	7,021	9,991																																										
						27,260	7,027	9,991																																										
						27,280	7,033	9,991																																										
						27,300	7,038	9,991																																										
						27,320	7,044	9,991																																										
						27,340	7,050	9,991																																										
						27,360	7,056	9,991																																										
						27,380	7,061	9,991																																										
						27,400	7,067	9,991																																										
						27,420	7,072	9,991																																										
						27,440	7,078	9,991																																										
						27,460	7,084	9,991																																										
						27,480	7,089	9,991																																										
						27,500	7,095	9,991																																										
						27,520	7,100	9,991																																										
						27,540	7,107	9,991																																										
						27,560	7,112	9,991																																										
						27,580	7,118	9,991																																										
						27,600	7,124	9,991																																										
						27,620	7,129	9,991																																										
						27,640	7,135	9,991																																										
						27,660	7,140	9,991																																										
						27,680	7,146	9,991																																										
						27,700	7,152	9,991																																										
						27,720	7,158	9,991																																										
						27,740	7,163	9,991																																										
						27,760	7,169	9,991																																										
						27,780	7,175	9,991																																										
						27,800	7,180	9,991																																										
						27,820	7,186	9,991																																										
						27,840	7,191	9,991																																										
						27,860	7,197	9,991																																										
						27,880	7,202	9,991																																										
						27,900	7,208	9,991																																										
						27,920	7,214	9,991																																										
						27,940	7,220	9,991																																										
						27,960	7,225	9,991																																										
						27,980	7,231	9,991																																										
						28,000	7,236	9,991																																										
						28,020	7,242	9,991																																										
						28,040	7,247	9,991																																										
						28,060	7,253	9,991																																										
						28,080	7,259	9,991																																										
						28,100	7,265	9,991																																										
						28,120	7,270	9,991																																										
						28,140	7,276	9,991																																										
