Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9
						60,700	-0,573	0,293							60,700	-7,008	0,054				60,700	-1,014	-0,756	60,700	3,439	-0,868
						60,750	-0,578	0,292							60,750	-7,008	0,055				60,750	-1,014	-0,752	60,750	3,369	-0,867
						60,800	-0,581	0,290							60,800	-7,008	0,054				60,800	-1,013	-0,749	60,800	3,278	-0,868
						60,850	-0,585	0,289							60,850	-7,008	0,055				60,850	-1,013	-0,745	60,850	3,252	-0,867
						60,900	-0,587	0,288							60,900	-7,008	0,054				60,900	-1,013	-0,742	60,900	3,252	-0,868
						60,950	-0,593	0,287							60,950	-7,008	0,055				60,950	-1,013	-0,738	60,950	3,252	-0,867
						61,000	-0,599	0,285							61,000	-7,009	0,054				61,000	-1,014	-0,735	61,000	3,252	-0,868
						61,050	-0,603	0,284							61,050	-7,008	0,055				61,050	-1,014	-0,731	61,050	3,254	-0,867
						61,100	-0,615	0,280							61,100	-7,009	0,055				61,100	-1,014	-0,728	61,100	3,266	-0,868
						61,150	-0,630	0,277							61,150	-7,008	0,055				61,150	-1,014	-0,724	61,150	3,199	-0,867
						61,200	-0,645	0,272							61,200	-7,009	0,055				61,200	-1,014	-0,721	61,200	3,107	-0,867
						61,250	-0,660	0,269							61,250	-7,008	0,055				61,250	-1,014	-0,717	61,250	3,049	-0,867
						61,300	-0,677	0,264							61,300	-7,009	0,055				61,300	-1,015	-0,714	61,300	2,993	-0,868
						61,350	-0,692	0,261							61,350	-7,009	0,055				61,350	-1,015	-0,710	61,350	2,955	-0,867
						61,400	-0,711	0,256							61,400	-7,009	0,055				61,400	-1,015	-0,707	61,400	2,896	-0,868
						61,450	-0,731	0,252							61,450	-7,009	0,055				61,450	-1,016	-0,704	61,450	2,856	-0,867
						61,500	-0,747	0,248							61,500	-7,009	0,055				61,500	-1,016	-0,701	61,500	2,855	-0,867
						61,550	-0,758	0,246							61,550	-7,009	0,056				61,550	-1,017	-0,697	61,550	2,855	-0,867
						61,600	-0,768	0,243							61,600	-7,009	0,055				61,600	-1,017	-0,694	61,600	2,854	-0,868
						61,650	-0,777	0,242							61,650	-7,009	0,056				61,650	-1,018	-0,690	61,650	2,855	-0,867
						61,700	-0,788	0,239							61,700	-7,009	0,055				61,700	-1,018	-0,687	61,700	2,854	-0,868
						61,750	-0,798	0,238							61,750	-7,009	0,056				61,750	-1,018	-0,683	61,750	2,814	-0,867
						61,800	-0,805	0,235							61,800	-7,010	0,055				61,800	-1,018	-0,680	61,800	2,713	-0,868
						61,850	-0,810	0,235							61,850	-7,009	0,056				61,850	-1,018	-0,677	61,850	2,658	-0,867
						61,900	-0,814	0,233							61,900	-7,010	0,055				61,900	-1,018	-0,674	61,900	2,585	-0,868
						61,950	-0,817	0,233							61,950	-7,009	0,056				61,950	-1,018	-0,671	61,950	2,470	-0,867
						62,000	-0,821	0,232							62,000	-7,010	0,055				62,000	-1,018	-0,667	62,000	2,371	-0,867
						62,050	-0,827	0,232							62,050	-7,009	0,056				62,050	-1,018	-0,664	62,050	2,367	-0,867
						62,100	-0,835	0,230							62,100	-7,010	0,055				62,100	-1,019	-0,661	62,100	2,367	-0,867
						62,150	-0,841	0,230							62,150	-7,009	0,056				62,150	-1,020	-0,657	62,150	2,367	-0,867
						62,200	-0,846	0,228							62,200	-7,010	0,056				62,200	-1,020	-0,654	62,200	2,367	-0,867
						62,250	-0,851	0,228							62,250	-7,010	0,056				62,250	-1,021	-0,651	62,250	2,367	-0,867
						62,300	-0,859	0,226							62,300	-7,010	0,056				62,300	-1,021	-0,648	62,300	2,366	-0,867
						62,350	-0,869	0,225							62,350	-7,010	0,056				62,350	-1,021	-0,645	62,350	2,294	-0,867
						62,400	-0,881	0,223							62,400	-7,010	0,055				62,400	-1,020	-0,642	62,400	2,201	-0,867
						62,450	-0,890	0,222							62,450	-7,010	0,056				62,450	-1,020	-0,638	62,450	2,150	-0,866
						62,500	-0,899	0,220							62,500	-7,010	0,056				62,500	-1,020	-0,635	62,500	2,096	-0,867
						62,550	-0,907	0,219							62,550	-7,010	0,056				62,550	-1,019	-0,632	62,550	2,012	-0,866
						62,600	-0,917	0,217							62,600	-7,010	0,055				62,600	-1,019	-0,628	62,600	1,932	-0,867
						62,650	-0,930	0,216							62,650	-7,010	0,056				62,650	-1,019	-0,626	62,650	1,897	-0,866
						62,700	-0,940	0,214							62,700	-7,010	0,055				62,700	-1,019	-0,622	62,700	1,894	-0,867
						62,750	-0,947	0,213							62,750	-7,010	0,056				62,750	-1,020	-0,619	62,750	1,894	-0,866
						62,800	-0,954	0,211							62,800	-7,010	0,056				62,800	-1,021	-0,616	62,800	1,894	-0,867
						62,850	-0,961	0,211							62,850	-7,010	0,057				62,850	-1,022	-0,613	62,850	1,894	-0,866
						62,900	-0,971	0,209							62,900	-7,010	0,056				62,900	-1,023	-0,610	62,900	1,894	-0,867
						62,950	-0,983	0,208							62,950	-7,010	0,056				62,950	-1,024	-0,607	62,950	1,876	-0,866
						63,000	-0,990	0,206							63,000	-7,010	0,056				63,000	-1,025	-0,604	63,000	1,783	-0,867
						63,050	-0,998	0,206							63,050	-7,010	0,057				63,050	-1,026	-0,601	63,050	1,695	-0,866
						63,100	-1,008	0,204							63,100	-7,011	0,056				63,100	-1,025	-0,598	63,100	1,635	-0,867
						63,150	-1,017	0,203							63,150	-7,010	0,057				63,150	-1,026	-0,595	63,150	1,580	-0,866
						63,200	-1,030	0,201							63,200	-7,011	0,056				63,200	-1,027	-0,592	63,200	1,513	-0,866
						63,250	-1,045	0,201							63,250	-7,010	0,057				63,250	-1,028	-0,589	63,250	1,478	-0,866
						63,300	-1,061	0,197							63,300	-7,011	0,056				63,300	-1,029	-0,586	63,300	1,463	-0,866
						63,350	-1,081	0,196							63,350	-7,010	0,057				63,350	-1,029	-0,583	63,350	1,464	-0,866
						63,400	-1,101	0,193							63,400	-7,011	0,056				63,400	-1,030	-0,581	63,400	1,463	-0,867
						63,450	-1,123	0,191							63,450	-7,010	0,057				63,450	-1,030	-0,578	63,450	1,463	-0,866
						63,500	-1,144	0,188							63,500	-7,011	0,056				63,500	-1,032	-0,575	63,500	1,463	-0,866
						63,550	-1,157	0,187							63,550	-7,011	0,057				63,550	-1,033	-0,573	63,550	1,463	-0,866
						63,600	-1,168	0,185							63,600	-7,011	0,056				63,600	-1,033	-0,570	63,600	1,434	-0,866
						63,650	-1,175	0,185							63,650	-7,010	0,057				63,650	-1,034	-0,567	63,650	1,313	-0,866
						63,700	-1,178	0,183							63,700	-7,011	0,056				63,700	-1,034	-0,565	63,700	1,216	-0,866
						63,750	-1,180	0,184							63,750	-7,011	0,057				63,750	-1,034	-0,562	63,750	1,170	-0,866
						63,800	-1,181	0,183							63,800	-7,011	0,056				63,800	-1,034	-0,560	63,800	1,167	-0,866
						63,850	-1,185	0,183							63,850	-7,011	0,057				63,850	-1,035	-0,557	63,850	1,167	-0,866
						63,900	-1,202	0,181							63,900	-7,011	0,057				63,900	-1,035	-0,554	63,900	1,166	-0,866
						63,950	-1,222	0,180							63,950	-7,010	0,057				63,950	-1,035	-0,552	63,950	1,166	-0,865
						64,000	-1,253	0,177							64,000	-7,011	0,056				64,000	-1,035	-0,549	64,000	1,166	-0,866
						64,050	-1,294	0,174							64,050	-7,011	0,057				64,050	-1,036	-0,547	64,050	1,166	-0,866
						64,100	-1,341	0,168							64,100	-7,011	0,057				64,100	-1,036	-0,544	64,100	1,166	-0,866
						64,150	-1,367	0,166							64,150	-7,011	0,057				64,150	-1,036	-0,542	64,150	1,131	-0,866
						64,200	-1,393	0,164							64,200	-7,011	0,057				64,200	-1,037	-0,539	64,200	1,034	-0,866
						64,250	-1,429	0,161							64,250	-7,011	0,058				64,250	-1,038	-0,537	64,250	1,001	-0,865
						64,300	-1,474	0,157							64,300	-7,012	0,057				64,300	-1,038	-0,535	64,300	0,888	-0,866
						64,350	-1,506	0,154													64,350	-1,038	-0,532	64,350	0,792	-0,866
						64,400	-1,522	0,152													64,400	-1,038	-0,530	64,400	0,767	-0,865
						64,450	-1,529	0,153													64,450	-1,038	-0,527	64,450	0,765	-0,865
						64,500	-1,533	0,151													64,500	-1,039	-0,525	64,500	0,770	-0,866
						64,550	-1,535	0,152													64,550	-1,039	-0,523	64,550	0,771	-0,865
						64,600	-1,536	0,151													64,600	-1,040	-0,521	64,600	0,774	-0,866
						64,650	-1,539	0,152													64,650	-1,040	-0,518	64,650	0,772	-0,865
						64,700	-1,570	0,149													64,700	-1,041	-0,516	64,700	0,761	-0,866
						64,750	-1,644	0,145													64,750	-1,042	-0,514	64,750	0,711	-0,865
						64,800	-1,710	0,139													64,800	-1,042	-0,511	64,800	0,663	-0,866
						64,850	-1,753	0,137													64,850	-1,043	-0,509	64,850	0,624	-0,865
						64,900	-1,792	0,133													64,900	-1,043	-0,507	64,900	0,595	-0,866
						64,950	-1,833	0,132													64,950	-1,044	-0,505	64,950	0,566	-0,865
						65,000	-1,888	0,128													65,000	-1,044	-0,503	65,000	0,505	-0,865
						65,050	-1,925	0,126													65,050	-1,043	-0,501	65,050	0,450	-0,865
						65,100	-1,938	0,124													65,100	-1,043	-0,498	65,100	0,427	-0,865
						65,150	-1,943	0,125													65,150	-1,043	-0,496	65,150	0,427	-0,865
						65,200	-1,945	0,123													65,200	-1,042	-0,494	65,200	0,426	-0,865
						65,250	-1,946	0,124													65,250	-1,043	-0,492	65,250	0,427	-0,865
						65,300	-1,947	0,123													65,300	-1,044	-0,490	65,300	0,426	-0,865
						65,350	-1,978	0,123													65,350	-1,046	-0,488	65,350	0,425	-0,865
						65,400	-2,069	0,117													65,400	-1,047	-0,485	65,400	0,385	-0,865
						65,450	-2,188	0,111													65,450	-1,047	-0,483	65,450	0,326	-0,865
						65,500	-2,276	0,106													65,500	-1,048	-0,482	65,500	0,261	-0,865
						65,550	-2,347	0,103													65,550	-1,049	-0,480	65,550	0,210	-0,865
						65,600	-2,411	0,100													65,600	-1,050	-0,478	65,600	0,144	-0,865
						65,650	-2,442	0,099													65,650	-1,051	-0,476	65,650	0,115	-0,864
						65,700	-2,455	0,097													65,700	-1,050	-0,474	65,700	0,113	-0,865
						65,750	-2,458	0,098													65,750	-1,050	-0,472	65,750	0,113	-0,865
						65,800	-2,460	0,097													65,800	-1,051	-0,470	65,800	0,113	-0,865
						65,850	-2,460	0,098													65,850	-1,051	-0,469	65,850	0,113	-0,865
						65,900	-2,461	0,097													65,900	-1,051	-0,467	65,900	0,113	-0,865
						65,950	-2,461	0,097													65,950	-1,053	-0,465	65,950	0,113	-0,865
						66,000	-2,470	0,097													66,000	-1,053	-0,463	66,000	0,112	-0,865
						66,050	-2,515	0,096													66,050	-1,053	-0,461	66,050	0,063	-0,865
						66,100	-2,585	0,092													66,100	-1,053	-0,459	66,100	0,002	-0,865
						66,150	-2,683	0,089													66,150	-1,054	-0,458	66,150	-4,803E-4	-0,864
						66,200	-2,798	0,084													66,200	-1,054	-0,456	66,200	-6,317E-4	-0,865
						66,250	-2,873	0,081													66,250	-1,055	-0,454	66,250	-5,243E-4	-0,864
						66,300	-2,914	0,079													66,300	-1,054	-0,452	66,300	-9,564E-4	-0,865
						66,350	-2,921	0,079													66,350	-1,054	-0,450	66,350	-6,805E-4	-0,864
						66,400	-2,923	0,078													66,400	-1,059	-0,448	66,400	-9,601E-4	-0,865
						66,450	-2,924	0,079													66,450	-1,059	-0,447	66,450	-8,148E-4	-0,864
						66,500	-2,924	0,078													66,500	-1,060	-0,445	66,500	-9,271E-4	-0,865
						66,550	-2,924	0,079													66,550	-1,059	-0,443	66,550	-7,916E-4	-0,864
						66,600	-2,924	0,079													66,600	-1,067	-0,440	66,600	-7,416E-4	-0,864
						66,650	-2,937	0,079													66,650	-1,064	-0,438	66,650	-8,429E-4	-0,864
						66,700	-2,997	0,076													66,700	-1,063	-0,436	66,700	-0,001	-0,865
						66,750	-3,055	0,075													66,750	-1,062	-0,434	66,750	-6,891E-4	-0,864
						66,800	-3,089	0,073													66,800	-1,060	-0,431	66,800	-0,001	-0,865
						66,850	-3,149	0,072													66,850	-1,060	-0,429	66,850	-5,817E-4	-0,864
						66,900	-3,234	0,069													66,900	-1,059	-0,427	66,900	-9,296E-4	-0,865
						66,950	-3,310	0,067													66,950	-1,059	-0,424	66,950	-8,380E-4	-0,864
						67,000	-3,334	0,065													67,000	-1,059	-0,421	67,000	-0,001	-0,865
						67,050	-3,338	0,066													67,050	-1,060	-0,419	67,050	-3,998E-4	-0,864
						67,100	-3,340	0,065													67,100	-1,060	-0,417	67,100	-7,721E-4	-0,865
						67,150	-3,340	0,066													67,150	-1,060	-0,415	67,150	-8,258E-4	-0,864
						67,200	-3,344	0,065													67,200	-1,060	-0,412	67,200	-7,538E-4	-0,864
						67,250	-3,343	0,066													67,250	-1,060	-0,409	67,250	-7,037E-4	-0,864
						67,300	-3,387	0,064													67,300	-1,060	-0,407	67,300	-0,001	-0,865
						67,350	-3,494	0,062													67,350	-1,060	-0,404	67,350	-0,001	-0,865
						67,400	-3,654	0,057													67,400	-1,060	-0,402	67,400	-9,393E-4	-0,865
						67,450	-3,783	0,054													67,450	-1,060	-0,399	67,450	-7,062E-4	-0,864
						67,500	-3,815	0,052													67,500	-1,060	-0,397	67,500	-0,001	-0,865
						67,550	-3,832	0,053													67,550	-1,060	-0,394	67,550	-5,353E-4	-0,864
						67,600	-3,837	0,051													67,600	-1,060	-0,392	67,600	-8,539E-4	-0,865
						67,650	-3,838	0,052													67,650	-1,060	-0,390	67,650	-5,524E-4	-0,864
						67,700	-3,838	0,051													67,700	-1,060	-0,387	67,700	-0,001	-0,865
						67,750	-3,838	0,052													67,750	-1,061	-0,385	67,750	-6,183E-4	-0,864
						67,800	-3,838	0,051													67,800	-1,060	-0,382	67,800	-0,001	-0,865
						67,850	-3,853	0,052													67,850	-1,060	-0,380	67,850	-4,376E-4	-0,864
						67,900	-3,911	0,050													67,900	-1,060	-0,377	67,900	-9,210E-4	-0,865
						67,950	-3,985	0,049													67,950	-1,060	-0,375	67,950	-8,295E-4	-0,864
						68,000	-4,080	0,046													68,000	-1,060	-0,372	68,000	-0,001	-0,865
						68,050	-4,162	0,045													68,050	-1,060	-0,370	68,050	-8,282E-4	-0,864
						68,100	-4,177	0,044													68,100	-1,060	-0,367	68,100	-9,686E-4	-0,865
						68,150	-4,179	0,044													68,150	-1,060	-0,365	68,150	9,369E-4	-0,865
						68,200	-4,179	0,044													68,200	-1,059	-0,362	68,200	0,004	-0,865
						68,250	-4,180	0,044													68,250	-1,059	-0,360	68,250	0,004	-0,864
						68,300	-4,180	0,044													68,300	-1,060	-0,357	68,300	0,004	-0,865
						68,350	-4,179	0,044													68,350	-1,060	-0,355	68,350	0,004	-0,864
						68,400	-4,195	0,044													68,400	-1,060	-0,352	68,400	0,004	-0,865
						68,450	-4,264	0,043													68,450	-1,061	-0,350	68,450	0,004	-0,864
						68,500	-4,366	0,040													68,500	-1,060	-0,347	68,500	0,004	-0,865
						68,550	-4,439	0,039													68,550	-1,060	-0,345	68,550	-0,003	-0,864
						68,600	-4,547	0,037													68,600	-1,060	-0,342	68,600	-0,028	-0,864
						68,650	-4,593	0,036													68,650	-1,061	-0,340	68,650	-0,048	-0,864
						68,700	-4,634	0,035													68,700	-1,061	-0,338	68,700	-0,074	-0,864
						68,750	-4,660	0,035													68,750	-1,062	-0,336	68,750	-0,130	-0,864
						68,800	-4,657	0,034													68,800	-1,062	-0,333	68,800	-0,177	-0,864
						68,850	-4,657	0,035													68,850	-1,062	-0,330	68,850	-0,190	-0,864
						68,900	-4,657	0,034													68,900	-1,066	-0,328	68,900	-0,203	-0,864
						68,950	-4,657	0,035													68,950	-1,067	-0,326	68,950	-0,210	-0,864
						69,000	-4,658	0,034													69,000	-1,068	-0,323	69,000	-0,222	-0,864
						69,050	-4,664	0,035													69,050	-1,068	-0,320	69,050	-0,239	-0,864
						69,100	-4,687	0,034													69,100	-1,068	-0,317	69,100	-0,239	-0,864
						69,150	-4,760	0,033													69,150	-1,069	-0,316	69,150	-0,239	-0,864
						69,200	-4,822	0,032													69,200	-1,072	-0,313	69,200	-0,239	-0,864
						69,250	-4,908	0,031													69,250	-1,077	-0,310	69,250	-0,239	-0,863
						69,300	-4,998	0,029													69,300	-1,077	-0,307	69,300	-0,239	-0,864
						69,350	-5,087	0,028													69,350	-1,079	-0,305	69,350	-0,245	-0,864
						69,400	-5,127	0,027													69,400	-1,079	-0,301	69,400	-0,252	-0,864
						69,450	-5,130	0,027													69,450	-1,079	-0,299	69,450	-0,268	-0,864
						69,500	-5,130	0,026													69,500	-1,081	-0,295	69,500	-0,296	-0,864
						69,550	-5,130	0,027													69,550	-1,083	-0,293	69,550	-0,310	-0,864
						69,600	-5,127	0,026													69,600	-1,083	-0,289	69,600	-0,337	-0,864
						69,650	-5,118	0,027													69,650	-1,083	-0,287	69,650	-0,402	-0,863
						69,700	-5,143	0,026													69,700	-1,082	-0,283	69,700	-0,445	-0,864
						69,750	-5,229	0,026													69,750	-1,083	-0,281	69,750	-0,463	-0,863
						69,800	-5,341	0,024													69,800	-1,083	-0,277	69,800	-0,496	-0,864
						69,850	-5,473	0,022													69,850	-1,084	-0,274	69,850	-0,505	-0,863
						69,900	-5,559	0,021													69,900	-1,086	-0,271	69,900	-0,505	-0,864
						69,950	-5,643	0,020													69,950	-1,092	-0,268	69,950	-0,505	-0,863
						70,000	-5,708	0,019													70,000	-1,089	-0,265	70,000	-0,505	-0,863
						70,050	-5,716	0,019													70,050	-1,094	-0,261	70,050	-0,505	-0,863
						70,100	-5,716	0,018													70,100	-1,099	-0,258	70,100	-0,505	-0,864
						70,150	-5,716	0,019													70,150	-1,098	-0,255	70,150	-0,505	-0,863
						70,200	-5,716	0,018													70,200	-1,100	-0,251	70,200	-0,506	-0,864
						70,250	-5,717	0,019													70,250	-1,115	-0,247	70,250	-0,520	-0,863
						70,300	-5,716	0,018													70,300	-1,109	-0,243	70,300	-0,541	-0,864
						70,350	-5,725	0,019													70,350	-1,110	-0,239	70,350	-0,560	-0,863
						70,400	-5,771	0,017													70,400	-1,109	-0,235	70,400	-0,568	-0,863
						70,450	-5,827	0,017													70,450	-1,110	-0,232	70,450	-0,603	-0,863
						70,500	-5,877	0,016													70,500	-1,119	-0,228	70,500	-0,614	-0,864
						70,550	-5,940	0,016													70,550	-1,125	-0,224	70,550	-0,629	-0,863
						70,600	-5,994	0,015													70,600	-1,123	-0,220	70,600	-0,655	-0,863
						70,650	-6,036	0,015													70,650	-1,121	-0,216	70,650	-0,675	-0,863
						70,700	-6,048	0,014													70,700	-1,116	-0,212	70,700	-0,692	-0,863
						70,750	-6,049	0,014													70,750	-1,117	-0,209	70,750	-0,703	-0,863
						70,800	-6,049	0,014													70,800	-1,116	-0,205	70,800	-0,712	-0,863
						70,850	-6,049	0,015													70,850	-1,116	-0,202	70,850	-0,718	-0,862
						70,900	-6,049	0,014													70,900	-1,116	-0,198	70,900	-0,738	-0,863
						70,950	-6,081	0,014													70,950	-1,116	-0,195	70,950	-0,745	-0,862
						71,000	-6,148	0,013													71,000	-1,117	-0,191	71,000	-0,746	-0,863
						71,050	-6,187	0,013													71,050	-1,119	-0,188	71,050	-0,751	-0,862
						71,100	-6,224	0,012													71,100	-1,128	-0,184	71,100	-0,757	-0,862
						71,150	-6,258	0,012													71,150	-1,153	-0,181	71,150	-0,763	-0,862
						71,200	-6,324	0,011													71,200	-1,141	-0,175	71,200	-0,772	-0,862
						71,250	-6,342	0,011													71,250	-1,125	-0,172	71,250	-0,777	-0,862
						71,300	-6,343	0,011													71,300	-1,124	-0,168	71,300	-0,784	-0,862
						71,350	-6,343	0,011													71,350	-1,124	-0,165	71,350	-0,793	-0,862
						71,400	-6,343	0,010													71,400	-1,125	-0,161	71,400	-0,816	-0,862
						71,450	-6,343	0,011													71,450	-1,127	-0,158	71,450	-0,835	-0,862
						71,500	-6,343	0,011													71,500	-1,130	-0,155	71,500	-0,850	-0,862
						71,550	-6,342	0,011													71,550	-1,130	-0,152	71,550	-0,851	-0,862
						71,600	-6,393	0,010													71,600	-1,129	-0,149	71,600	-0,850	-0,862
						71,650	-6,519	0,009													71,650	-1,129	-0,146	71,650	-0,852	-0,861
						71,700	-6,588	0,008													71,700	-1,129	-0,143	71,700	-0,851	-0,862
						71,750	-6,653	0,008													71,750	-1,129	-0,140	71,750	-0,849	-0,861
						71,800	-6,711	0,007													71,800	-1,129	-0,137	71,800	-0,855	-0,862
						71,850	-6,739	0,007													71,850	-1,128	-0,134	71,850	-0,857	-0,861
						71,900	-6,742	0,006													71,900	-1,128	-0,131	71,900	-0,866	-0,861
						71,950	-6,742	0,007													71,950	-1,128	-0,128	71,950	-0,887	-0,861
						72,000	-6,742	0,007													72,000	-1,127	-0,125	72,000	-0,886	-0,861
						72,050	-6,742	0,007													72,050	-1,127	-0,122	72,050	-0,887	-0,861
						72,100	-6,742	0,006													72,100	-1,127	-0,119	72,100	-0,888	-0,861
						72,150	-6,758	0,007													72,150	-1,128	-0,116	72,150	-0,892	-0,861
						72,200	-6,826	0,005													72,200	-1,129	-0,113	72,200	-0,895	-0,861
						72,250	-6,869	0,006													72,250	-1,129	-0,110	72,250	-0,904	-0,860
						72,300	-6,889	0,005													72,300	-1,129	-0,107	72,300	-0,909	-0,861
						72,350	-6,897	0,005													72,350	-1,130	-0,104	72,350	-0,917	-0,860
						72,400	-6,900	0,005													72,400	-1,131	-0,101	72,400	-0,917	-0,861
						72,450	-6,901	0,006													72,450	-1,132	-0,098	72,450	-0,927	-0,860
						72,500	-6,902	0,005													72,500	-1,133	-0,095	72,500	-0,933	-0,860
						72,550	-6,903	0,005													72,550	-1,135	-0,093	72,550	-0,941	-0,860
						72,600	-6,903	0,005													72,600	-1,135	-0,090	72,600	-0,954	-0,860
						72,650	-6,903	0,005													72,650	-1,136	-0,087	72,650	-0,965	-0,860
						72,700	-6,904	0,005													72,700	-1,136	-0,084	72,700	-0,967	-0,860
						72,750	-6,904	0,005													72,750	-1,136	-0,082	72,750	-0,974	-0,859
						72,800	-6,904	0,005													72,800	-1,135	-0,079	72,800	-0,987	-0,859
						72,850	-6,904	0,005													72,850	-1,133	-0,076	72,850	-0,997	-0,858
						72,900	-6,904	0,005													72,900	-1,132	-0,073	72,900	-1,002	-0,858
						72,950	-6,904	0,005													72,950	-1,133	-0,071	72,950	-1,005	-0,857
						73,000	-6,904	0,005													73,000	-1,133	-0,067	73,000	-1,010	-0,857
						73,050	-6,904	0,005													73,050	-1,135	-0,065	73,050	-1,011	-0,855
						73,100	-6,905	0,005													73,100	-1,136	-0,062	73,100	-1,015	-0,855
						73,150	-6,904	0,006													73,150	-1,138	-0,060	73,150	-1,017	-0,854
						73,200	-6,905	0,005													73,200	-1,140	-0,057	73,200	-1,025	-0,853
						73,250	-6,905	0,005													73,250	-1,141	-0,055	73,250	-1,034	-0,851
						73,300	-6,905	0,005													73,300	-1,142	-0,052	73,300	-1,036	-0,850
						73,350	-6,905	0,005													73,350	-1,143	-0,050	73,350	-1,037	-0,848
						73,400	-6,905	0,005													73,400	-1,145	-0,047	73,400	-1,038	-0,847
						73,450	-6,905	0,005													73,450	-1,146	-0,045	73,450	-1,038	-0,844
						73,500	-6,905	0,005													73,500	-1,148	-0,042	73,500	-1,046	-0,843
						73,550	-6,905	0,005													73,550	-1,150	-0,041	73,550	-1,047	-0,839
						73,600	-6,906	0,005													73,600	-1,152	-0,038	73,600	-1,044	-0,836
						73,650	-6,905	0,005													73,650	-1,153	-0,037	73,650	-1,041	-0,832
						73,700	-6,906	0,005													73,700	-1,154	-0,034	73,700	-1,038	-0,830
						73,750	-6,905	0,005													73,750	-1,155	-0,033	73,750	-1,035	-0,826
						73,800	-6,906	0,005													73,800	-1,157	-0,031	73,800	-1,032	-0,823
						73,850	-6,906	0,005													73,850	-1,156	-0,029	73,850	-1,030	-0,819
						73,900	-6,906	0,005													73,900	-1,157	-0,027	73,900	-1,029	-0,816
						73,950	-6,906	0,005													73,950	-1,157	-0,026	73,950	-1,028	-0,811
						74,000	-6,906	0,005													74,000	-1,159	-0,024	74,000	-1,027	-0,808
						74,050	-6,906	0,005													74,050	-1,173	-0,023	74,050	-1,025	-0,804
						74,100	-6,906	0,005													74,100	-1,182	-0,020	74,100	-1,024	-0,801
						74,150	-6,906	0,005													74,150	-1,184	-0,019	74,150	-1,024	-0,796
						74,200	-6,906	0,005													74,200	-1,185	-0,017	74,200	-1,023	-0,793
						74,250	-6,906	0,005													74,250	-1,208	-0,016	74,250	-1,021	-0,789
						74,300	-6,906	0,005													74,300	-1,205	-0,013	74,300	-1,021	-0,785
						74,350	-6,906	0,005													74,350	-1,204	-0,013	74,350	-1,020	-0,781
						74,400	-6,906	0,005													74,400	-1,215	-0,011	74,400	-1,019	-0,777
						74,450	-6,906	0,005													74,450	-1,247	-0,011	74,450	-1,018	-0,772
						74,500	-6,906	0,005													74,500	-1,228	-0,009	74,500	-1,018	-0,769
						74,550	-6,906	0,005													74,550	-1,226	-0,009	74,550	-1,017	-0,764
						74,600	-6,906	0,005													74,600	-1,235	-0,008	74,600	-1,017	-0,760
						74,650	-6,906	0,005													74,650	-1,242	-0,008	74,650	-1,017	-0,755
						74,700	-6,907	0,005													74,700	-1,246	-0,007	74,700	-1,017	-0,752
						74,750	-6,906	0,005													74,750	-1,249	-0,007	74,750	-1,017	-0,747
						74,800	-6,907	0,005													74,800	-1,255	-0,006	74,800	-1,017	-0,744
						74,850	-6,906	0,005													74,850	-1,274	-0,005	74,850	-1,017	-0,739
						74,900	-6,906	0,005													74,900	-1,283	-0,004	74,900	-1,017	-0,735
						74,950	-6,906	0,005													74,950	-1,291	-0,004	74,950	-1,017	-0,730
						75,000	-6,907	0,005													75,000	-1,310	-0,003	75,000	-1,017	-0,727
						75,050	-6,907	0,005													75,050	-1,318	-0,003	75,050	-1,017	-0,722
						75,100	-6,907	0,005													75,100	-1,330	-0,001	75,100	-1,017	-0,718
						75,150	-6,906	0,005													75,150	-1,346	-0,001	75,150	-1,016	-0,713
						75,200	-6,907	0,005													75,200	-1,353	-2,686E-6	75,200	-1,016	-0,710
						75,250	-6,907	0,005													75,250	-1,366	-7,180E-4	75,250	-1,016	-0,705
						75,300	-6,907	0,005													75,300	-1,392	5,503E-4	75,300	-1,016	-0,701
						75,350	-6,907	0,005													75,350	-1,413	-1,626E-4	75,350	-1,016	-0,696
						75,400	-6,907	0,005													75,400	-1,439	8,848E-4	75,400	-1,016	-0,692
						75,450	-6,906	0,005													75,450	-1,462	6,272E-4	75,450	-1,017	-0,688
						75,500	-6,907	0,005													75,500	-1,469	0,001	75,500	-1,018	-0,684
						75,550	-6,907	0,005													75,550	-1,485	3,416E-4	75,550	-1,018	-0,680
						75,600	-6,907	0,005													75,600	-1,498	0,001	75,600	-1,019	-0,676
