Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13
22,500	6,162	4,860	22,500	6,374	3,176	22,500	6,382	6,308	22,500	6,471	2,564				22,500	6,455	6,455	22,500	6,446	7,985	22,500	6,490	5,756	22,500	6,440	5,934	22,500	6,390	5,075	22,500	6,385	3,776	22,500	6,409	7,214	22,500	6,433	6,937
22,520	6,167	4,865	22,520	6,380	3,170	22,520	6,388	6,320	22,520	6,477	2,558				22,520	6,462	6,446	22,520	6,452	7,996	22,520	6,495	5,770	22,520	6,446	5,937	22,520	6,395	5,063	22,520	6,391	3,768	22,520	6,415	7,205	22,520	6,439	6,932
22,540	6,173	4,874	22,540	6,386	3,164	22,540	6,394	6,333	22,540	6,483	2,552				22,540	6,467	6,436	22,540	6,457	8,006	22,540	6,501	5,782	22,540	6,452	5,944	22,540	6,402	5,052	22,540	6,397	3,759	22,540	6,420	7,197	22,540	6,444	6,928
22,560	6,179	4,884	22,560	6,391	3,156	22,560	6,399	6,346	22,560	6,488	2,546				22,560	6,473	6,430	22,560	6,463	8,018	22,560	6,507	5,796	22,560	6,457	5,953	22,560	6,407	5,039	22,560	6,402	3,751	22,560	6,426	7,193	22,560	6,450	6,929
22,580	6,183	4,894	22,580	6,397	3,150	22,580	6,405	6,360	22,580	6,494	2,542				22,580	6,479	6,426	22,580	6,469	8,034	22,580	6,512	5,809	22,580	6,463	5,962	22,580	6,413	5,029	22,580	6,408	3,743	22,580	6,432	7,188	22,580	6,456	6,930
22,600	6,190	4,907	22,600	6,403	3,142	22,600	6,411	6,375	22,600	6,500	2,539				22,600	6,484	6,424	22,600	6,475	8,049	22,600	6,518	5,821	22,600	6,469	5,973	22,600	6,418	5,017	22,600	6,414	3,735	22,600	6,437	7,186	22,600	6,461	6,934
22,620	6,195	4,918	22,620	6,409	3,134	22,620	6,416	6,389	22,620	6,505	2,537				22,620	6,490	6,424	22,620	6,480	8,067	22,620	6,524	5,835	22,620	6,474	5,984	22,620	6,424	5,008	22,620	6,419	3,729	22,620	6,444	7,187	22,620	6,467	6,941
22,640	6,201	4,930	22,640	6,414	3,126	22,640	6,422	6,406	22,640	6,511	2,536				22,640	6,496	6,426	22,640	6,486	8,086	22,640	6,530	5,848	22,640	6,480	5,998	22,640	6,430	4,999	22,640	6,425	3,723	22,640	6,449	7,189	22,640	6,473	6,948
22,660	6,207	4,939	22,660	6,420	3,119	22,660	6,427	6,423	22,660	6,517	2,536				22,660	6,502	6,431	22,660	6,491	8,105	22,660	6,536	5,859	22,660	6,486	6,012	22,660	6,435	4,991	22,660	6,431	3,718	22,660	6,455	7,193	22,660	6,479	6,959
22,680	6,212	4,948	22,680	6,426	3,114	22,680	6,433	6,440	22,680	6,523	2,537				22,680	6,507	6,438	22,680	6,497	8,126	22,680	6,541	5,869	22,680	6,491	6,024	22,680	6,442	4,984	22,680	6,437	3,714	22,680	6,460	7,200	22,680	6,484	6,971
22,700	6,219	4,955	22,700	6,431	3,108	22,700	6,439	6,458	22,700	6,528	2,538				22,700	6,513	6,448	22,700	6,503	8,146	22,700	6,547	5,880	22,700	6,497	6,039	22,700	6,447	4,979	22,700	6,442	3,710	22,700	6,466	7,209	22,700	6,490	6,984
22,720	6,224	4,959	22,720	6,437	3,103	22,720	6,445	6,477	22,720	6,534	2,542				22,720	6,519	6,459	22,720	6,509	8,165	22,720	6,552	5,890	22,720	6,503	6,053	22,720	6,453	4,976	22,720	6,448	3,708	22,720	6,472	7,221	22,720	6,496	6,999
22,740	6,230	4,964	22,740	6,443	3,099	22,740	6,450	6,497	22,740	6,540	2,546				22,740	6,524	6,472	22,740	6,514	8,182	22,740	6,558	5,900	22,740	6,509	6,032	22,740	6,458	4,974	22,740	6,454	3,708	22,740	6,477	7,234	22,740	6,501	7,016
22,760	6,236	4,965	22,760	6,448	3,096	22,760	6,456	6,517	22,760	6,545	2,550				22,760	6,530	6,486	22,760	6,520	8,202	22,760	6,563	5,911	22,760	6,514	6,064	22,760	6,464	4,973	22,760	6,460	3,708	22,760	6,483	7,249	22,760	6,507	7,033
22,780	6,241	4,965	22,780	6,454	3,094	22,780	6,462	6,537	22,780	6,551	2,555				22,780	6,536	6,502	22,780	6,526	8,220	22,780	6,569	5,922	22,780	6,520	6,091	22,780	6,470	4,974	22,780	6,465	3,710	22,780	6,489	7,264	22,780	6,513	7,050
22,800	6,247	4,965	22,800	6,460	3,093	22,800	6,468	6,559	22,800	6,557	2,562				22,800	6,541	6,519	22,800	6,532	8,236	22,800	6,574	5,933	22,800	6,526	6,104	22,800	6,476	4,978	22,800	6,471	3,713	22,800	6,495	7,281	22,800	6,519	7,067
22,820	6,252	4,962	22,820	6,466	3,093	22,820	6,473	6,579	22,820	6,562	2,567				22,820	6,547	6,537	22,820	6,538	8,251	22,820	6,580	5,946	22,820	6,532	6,115	22,820	6,482	4,982	22,820	6,476	3,718	22,820	6,500	7,299	22,820	6,524	7,085
22,840	6,258	4,960	22,840	6,471	3,093	22,840	6,479	6,601	22,840	6,568	2,575				22,840	6,553	6,615	22,840	6,543	8,326	22,840	6,586	5,959	22,840	6,537	6,125	22,840	6,487	4,988	22,840	6,482	3,723	22,840	6,506	7,316	22,840	6,530	7,102
22,860	6,264	4,957	22,860	6,477	3,095	22,860	6,485	6,623	22,860	6,573	2,581				22,860	6,558	6,575	22,860	6,549	8,299	22,860	6,592	5,974	22,860	6,543	6,136	22,860	6,493	4,996	22,860	6,488	3,728	22,860	6,512	7,333	22,860	6,536	7,118
22,880	6,269	4,953	22,880	6,483	3,098	22,880	6,490	6,645	22,880	6,579	2,587				22,880	6,564	6,588	22,880	6,554	8,296	22,880	6,598	5,989	22,880	6,548	6,146	22,880	6,499	5,005	22,880	6,494	3,736	22,880	6,517	7,352	22,880	6,541	7,132
22,900	6,275	4,950	22,900	6,488	3,103	22,900	6,496	6,668	22,900	6,584	2,593				22,900	6,570	6,605	22,900	6,560	8,311	22,900	6,604	6,006	22,900	6,555	6,157	22,900	6,504	5,015	22,900	6,499	3,743	22,900	6,523	7,367	22,900	6,547	7,146
22,920	6,280	4,947	22,920	6,494	3,107	22,920	6,502	6,692	22,920	6,590	2,598				22,920	6,575	6,619	22,920	6,565	8,327	22,920	6,609	6,023	22,920	6,560	6,170	22,920	6,510	5,026	22,920	6,505	3,751	22,920	6,529	7,382	22,920	6,553	7,160
22,940	6,286	4,944	22,940	6,500	3,113	22,940	6,507	6,715	22,940	6,596	2,604				22,940	6,581	6,635	22,940	6,571	8,345	22,940	6,615	6,043	22,940	6,565	6,181	22,940	6,516	5,037	22,940	6,510	3,759	22,940	6,535	7,397	22,940	6,559	7,173
22,960	6,292	4,942	22,960	6,506	3,119	22,960	6,514	6,739	22,960	6,601	2,609				22,960	6,587	6,650	22,960	6,576	8,364	22,960	6,620	6,062	22,960	6,571	6,194	22,960	6,522	5,050	22,960	6,516	3,769	22,960	6,540	7,412	22,960	6,563	7,185
22,980	6,297	4,941	22,980	6,511	3,126	22,980	6,519	6,762	22,980	6,607	2,614				22,980	6,592	6,664	22,980	6,582	8,384	22,980	6,626	6,084	22,980	6,577	6,208	22,980	6,527	5,062	22,980	6,522	3,777	22,980	6,546	7,426	22,980	6,570	7,200
23,000	6,303	4,940	23,000	6,517	3,132	23,000	6,525	6,787	23,000	6,613	2,618				23,000	6,598	6,678	23,000	6,588	8,406	23,000	6,632	6,107	23,000	6,582	6,223	23,000	6,533	5,074	23,000	6,528	3,785	23,000	6,551	7,439	23,000	6,575	7,214
23,020	6,309	4,940	23,020	6,522	3,139	23,020	6,531	6,812	23,020	6,619	2,623				23,020	6,604	6,692	23,020	6,594	8,433	23,020	6,637	6,130	23,020	6,588	6,239	23,020	6,539	5,086	23,020	6,533	3,794	23,020	6,557	7,452	23,020	6,580	7,227
23,040	6,315	4,942	23,040	6,528	3,146	23,040	6,536	6,837	23,040	6,624	2,627				23,040	6,609	6,707	23,040	6,600	8,457	23,040	6,643	6,155	23,040	6,593	6,256	23,040	6,544	5,095	23,040	6,539	3,802	23,040	6,563	7,467	23,040	6,586	7,243
23,060	6,320	4,944	23,060	6,534	3,153	23,060	6,542	6,863	23,060	6,630	2,632				23,060	6,615	6,721	23,060	6,605	8,483	23,060	6,649	6,179	23,060	6,599	6,275	23,060	6,550	5,106	23,060	6,545	3,809	23,060	6,568	7,480	23,060	6,592	7,259
23,080	6,326	4,947	23,080	6,540	3,161	23,080	6,547	6,888	23,080	6,636	2,638				23,080	6,621	6,738	23,080	6,610	8,511	23,080	6,655	6,205	23,080	6,605	6,295	23,080	6,556	5,115	23,080	6,550	3,815	23,080	6,573	7,495	23,080	6,597	7,277
23,100	6,332	4,951	23,100	6,546	3,168	23,100	6,553	6,915	23,100	6,642	2,643				23,100	6,627	6,754	23,100	6,617	8,542	23,100	6,660	6,232	23,100	6,611	6,317	23,100	6,561	5,125	23,100	6,556	3,821	23,100	6,579	7,511	23,100	6,603	7,297
23,120	6,337	4,956	23,120	6,551	3,173	23,120	6,558	6,942	23,120	6,646	2,648				23,120	6,632	6,772	23,120	6,622	8,572	23,120	6,666	6,258	23,120	6,616	6,359	23,120	6,567	5,134	23,120	6,561	3,828	23,120	6,585	7,528	23,120	6,609	7,317
23,140	6,343	4,962	23,140	6,556	3,179	23,140	6,564	6,970	23,140	6,653	2,656				23,140	6,638	6,792	23,140	6,628	8,605	23,140	6,672	6,287	23,140	6,622	6,363	23,140	6,572	5,143	23,140	6,567	3,834	23,140	6,591	7,548	23,140	6,615	7,340
23,160	6,349	4,969	23,160	6,563	3,185	23,160	6,570	6,997	23,160	6,658	2,663				23,160	6,643	6,812	23,160	6,634	8,640	23,160	6,678	6,315	23,160	6,628	6,385	23,160	6,578	5,151	23,160	6,573	3,841	23,160	6,596	7,568	23,160	6,620	7,364
23,180	6,355	4,978	23,180	6,568	3,189	23,180	6,575	7,024	23,180	6,664	2,672				23,180	6,649	6,836	23,180	6,640	8,674	23,180	6,683	6,343	23,180	6,634	6,410	23,180	6,584	5,159	23,180	6,578	3,847	23,180	6,602	7,589	23,180	6,626	7,390
23,200	6,361	4,987	23,200	6,573	3,194	23,200	6,581	7,051	23,200	6,670	2,681				23,200	6,655	6,841	23,200	6,645	8,708	23,200	6,689	6,374	23,200	6,639	6,435	23,200	6,589	5,170	23,200	6,584	3,855	23,200	6,608	7,612	23,200	6,632	7,416
23,220	6,366	4,997	23,220	6,579	3,200	23,220	6,587	7,080	23,220	6,675	2,690				23,220	6,661	6,882	23,220	6,651	8,683	23,220	6,695	6,405	23,220	6,645	6,461	23,220	6,595	5,181	23,220	6,589	3,862	23,220	6,613	7,636	23,220	6,637	7,443
23,240	6,371	5,007	23,240	6,585	3,205	23,240	6,592	7,109	23,240	6,682	2,702				23,240	6,666	6,914	23,240	6,656	8,782	23,240	6,701	6,436	23,240	6,650	6,487	23,240	6,601	5,191	23,240	6,595	3,871	23,240	6,619	7,662	23,240	6,643	7,474
23,260	6,377	5,019	23,260	6,590	3,211	23,260	6,598	7,139	23,260	6,687	2,713				23,260	6,672	6,943	23,260	6,662	8,823	23,260	6,706	6,468	23,260	6,656	6,516	23,260	6,606	5,203	23,260	6,602	3,881	23,260	6,625	7,690	23,260	6,649	7,504
23,280	6,384	5,032	23,280	6,596	3,218	23,280	6,604	7,168	23,280	6,693	2,725				23,280	6,678	6,974	23,280	6,668	8,863	23,280	6,712	6,499	23,280	6,662	6,544	23,280	6,612	5,216	23,280	6,607	3,890	23,280	6,631	7,719	23,280	6,655	7,536
23,300	6,389	5,042	23,300	6,602	3,225	23,300	6,609	7,199	23,300	6,698	2,737				23,300	6,684	7,007	23,300	6,673	8,902	23,300	6,717	6,531	23,300	6,668	6,573	23,300	6,618	5,231	23,300	6,613	3,902	23,300	6,637	7,750	23,300	6,660	7,569
23,320	6,395	5,056	23,320	6,608	3,232	23,320	6,615	7,231	23,320	6,704	2,750				23,320	6,689	7,038	23,320	6,679	8,943	23,320	6,723	6,565	23,320	6,673	6,603	23,320	6,623	5,247	23,320	6,618	3,913	23,320	6,642	7,780	23,320	6,666	7,601
23,340	6,400	5,067	23,340	6,613	3,241	23,340	6,621	7,263	23,340	6,710	2,763				23,340	6,695	7,071	23,340	6,685	8,985	23,340	6,729	6,598	23,340	6,679	6,634	23,340	6,629	5,263	23,340	6,624	3,925	23,340	6,648	7,802	23,340	6,672	7,635
23,360	6,406	5,078	23,360	6,619	3,250	23,360	6,626	7,294	23,360	6,715	2,776				23,360	6,700	7,106	23,360	6,691	9,028	23,360	6,734	6,633	23,360	6,684	6,663	23,360	6,635	5,281	23,360	6,630	3,939	23,360	6,654	7,825	23,360	6,677	7,670
23,380	6,411	5,089	23,380	6,625	3,260	23,380	6,632	7,328	23,380	6,721	2,791				23,380	6,706	7,142	23,380	6,696	9,069	23,380	6,740	6,669	23,380	6,690	6,695	23,380	6,640	5,299	23,380	6,635	3,952	23,380	6,660	7,877	23,380	6,683	7,704
23,400	6,417	5,100	23,400	6,631	3,270	23,400	6,637	7,361	23,400	6,727	2,806				23,400	6,712	7,179	23,400	6,702	9,113	23,400	6,746	6,705	23,400	6,696	6,725	23,400	6,646	5,320	23,400	6,641	3,968	23,400	6,665	7,912	23,400	6,689	7,741
23,420	6,423	5,110	23,420	6,636	3,281	23,420	6,644	7,394	23,420	6,732	2,821				23,420	6,717	7,215	23,420	6,708	9,158	23,420	6,751	6,742	23,420	6,702	6,758	23,420	6,652	5,342	23,420	6,646	3,982	23,420	6,670	7,946	23,420	6,695	7,778
23,440	6,429	5,120	23,440	6,642	3,293	23,440	6,649	7,428	23,440	6,738	2,836				23,440	6,723	7,253	23,440	6,714	9,204	23,440	6,757	6,778	23,440	6,707	6,791	23,440	6,657	5,363	23,440	6,652	3,999	23,440	6,676	7,982	23,440	6,700	7,815
23,460	6,434	5,130	23,460	6,648	3,306	23,460	6,655	7,463	23,460	6,744	2,851				23,460	6,729	7,291	23,460	6,719	9,250	23,460	6,763	6,816	23,460	6,713	6,825	23,460	6,663	5,387	23,460	6,658	4,015	23,460	6,682	8,018	23,460	6,706	7,854
23,480	6,440	5,138	23,480	6,653	3,319	23,480	6,660	7,497	23,480	6,750	2,868				23,480	6,735	7,332	23,480	6,725	9,297	23,480	6,768	6,855	23,480	6,718	6,846	23,480	6,669	5,409	23,480	6,664	4,033	23,480	6,688	8,055	23,480	6,712	7,892
23,500	6,446	5,147	23,500	6,659	3,333	23,500	6,666	7,532	23,500	6,755	2,883				23,500	6,741	7,374	23,500	6,731	9,344	23,500	6,775	6,895	23,500	6,724	6,882	23,500	6,675	5,433	23,500	6,670	4,051	23,500	6,693	8,093	23,500	6,717	7,931
23,520	6,451	5,156	23,520	6,664	3,346	23,520	6,672	7,569	23,520	6,761	2,901				23,520	6,746	7,414	23,520	6,736	9,392	23,520	6,780	6,935	23,520	6,730	6,926	23,520	6,680	5,458	23,520	6,675	4,068	23,520	6,699	8,132	23,520	6,723	7,972
23,540	6,457	5,167	23,540	6,670	3,361	23,540	6,678	7,605	23,540	6,766	2,918				23,540	6,752	7,456	23,540	6,741	9,442	23,540	6,785	6,975	23,540	6,736	6,964	23,540	6,686	5,484	23,540	6,681	4,087	23,540	6,705	8,170	23,540	6,729	8,015
23,560	6,463	5,177	23,560	6,676	3,376	23,560	6,683	7,641	23,560	6,772	2,937				23,560	6,757	7,497	23,560	6,748	9,491	23,560	6,791	7,016	23,560	6,742	7,003	23,560	6,691	5,509	23,560	6,687	4,106	23,560	6,711	8,210	23,560	6,734	8,057
23,580	6,469	5,188	23,580	6,681	3,390	23,580	6,689	7,678	23,580	6,778	2,954				23,580	6,763	7,542	23,580	6,753	9,550	23,580	6,797	7,060	23,580	6,748	7,040	23,580	6,698	5,536	23,580	6,692	4,125	23,580	6,716	8,251	23,580	6,740	8,098
23,600	6,474	5,199	23,600	6,688	3,406	23,600	6,695	7,716	23,600	6,784	2,972				23,600	6,769	7,584	23,600	6,759	9,601	23,600	6,803	7,103	23,600	6,753	7,077	23,600	6,703	5,564	23,600	6,698	4,145	23,600	6,722	8,292	23,600	6,746	8,141
23,620	6,480	5,212	23,620	6,693	3,423	23,620	6,700	7,754	23,620	6,789	2,991				23,620	6,775	7,629	23,620	6,765	9,647	23,620	6,808	7,147	23,620	6,759	7,115	23,620	6,709	5,592	23,620	6,703	4,165	23,620	6,727	8,333	23,620	6,751	8,185
23,640	6,486	5,224	23,640	6,699	3,439	23,640	6,706	7,792	23,640	6,795	3,011				23,640	6,780	7,674	23,640	6,770	9,701	23,640	6,814	7,192	23,640	6,765	7,154	23,640	6,715	5,620	23,640	6,709	4,186	23,640	6,733	8,376	23,640	6,757	8,230
23,660	6,491	5,237	23,660	6,704	3,457	23,660	6,712	7,829	23,660	6,801	3,031				23,660	6,786	7,721	23,660	6,776	9,754	23,660	6,820	7,238	23,660	6,769	7,194	23,660	6,720	5,648	23,660	6,715	4,207	23,660	6,739	8,420	23,660	6,763	8,275
23,680	6,497	5,251	23,680	6,710	3,474	23,680	6,718	7,867	23,680	6,807	3,050				23,680	6,792	7,768	23,680	6,782	9,799	23,680	6,826	7,285	23,680	6,776	7,234	23,680	6,726	5,678	23,680	6,721	4,227	23,680	6,745	8,465	23,680	6,769	8,320
23,700	6,503	5,266	23,700	6,717	3,492	23,700	6,723	7,906	23,700	6,813	3,071				23,700	6,798	7,818	23,700	6,788	9,840	23,700	6,831	7,332	23,700	6,781	7,276	23,700	6,731	5,708	23,700	6,726	4,249	23,700	6,750	8,512	23,700	6,774	8,367
23,720	6,509	5,282	23,720	6,722	3,509	23,720	6,729	7,947	23,720	6,818	3,092				23,720	6,803	7,866	23,720	6,794	9,874	23,720	6,837	7,379	23,720	6,787	7,319	23,720	6,737	5,738	23,720	6,732	4,272	23,720	6,756	8,519	23,720	6,780	8,415
23,740	6,514	5,296	23,740	6,728	3,527	23,740	6,734	7,987	23,740	6,824	3,114				23,740	6,809	7,916	23,740	6,799	9,908	23,740	6,843	7,429	23,740	6,793	7,363	23,740	6,743	5,770	23,740	6,738	4,295	23,740	6,762	8,593	23,740	6,786	8,465
23,760	6,520	5,313	23,760	6,733	3,546	23,760	6,740	8,029	23,760	6,830	3,135				23,760	6,814	7,965	23,760	6,805	9,936	23,760	6,848	7,478	23,760	6,799	7,408	23,760	6,749	5,800	23,760	6,743	4,318	23,760	6,767	8,655	23,760	6,791	8,514
23,780	6,525	5,331	23,780	6,739	3,565	23,780	6,746	8,069	23,780	6,835	3,156				23,780	6,820	8,018	23,780	6,811	9,958	23,780	6,854	7,528	23,780	6,804	7,452	23,780	6,755	5,833	23,780	6,749	4,342	23,780	6,773	8,705	23,780	6,797	8,565
23,800	6,532	5,349	23,800	6,745	3,585	23,800	6,751	8,110	23,800	6,840	3,179				23,800	6,826	8,071	23,800	6,816	9,977	23,800	6,860	7,578	23,800	6,810	7,498	23,800	6,760	5,865	23,800	6,755	4,365	23,800	6,779	8,756	23,800	6,802	8,616
23,820	6,537	5,367	23,820	6,750	3,604	23,820	6,757	8,153	23,820	6,846	3,203				23,820	6,832	8,123	23,820	6,822	9,988	23,820	6,865	7,629	23,820	6,816	7,545	23,820	6,766	5,898	23,820	6,761	4,389	23,820	6,784	8,805	23,820	6,809	8,670
23,840	6,543	5,386	23,840	6,756	3,623	23,840	6,763	8,197	23,840	6,852	3,227				23,840	6,838	8,180	23,840	6,828	9,992	23,840	6,871	7,681	23,840	6,821	7,592	23,840	6,772	5,932	23,840	6,766	4,414	23,840	6,790	8,858	23,840	6,814	8,725
23,860	6,548	5,403	23,860	6,761	3,643	23,860	6,768	8,240	23,860	6,858	3,251				23,860	6,843	8,237	23,860	6,833	9,991	23,860	6,876	7,734	23,860	6,827	7,684	23,860	6,777	5,966	23,860	6,772	4,439	23,860	6,796	8,910	23,860	6,820	8,780
23,880	6,554	5,423	23,880	6,767	3,665	23,880	6,774	8,285	23,880	6,863	3,275				23,880	6,848	8,293	23,880	6,839	9,991	23,880	6,882	7,788	23,880	6,833	7,698	23,880	6,783	6,001	23,880	6,777	4,465	23,880	6,802	8,962	23,880	6,825	8,838
23,900	6,560	5,443	23,900	6,773	3,686	23,900	6,780	8,328	23,900	6,869	3,300				23,900	6,854	8,352	23,900	6,844	9,991	23,900	6,887	7,840	23,900	6,838	7,737	23,900	6,789	6,037	23,900	6,783	4,492	23,900	6,808	9,016	23,900	6,831	8,894
23,920	6,565	5,463	23,920	6,779	3,707	23,920	6,786	8,373	23,920	6,875	3,327				23,920	6,860	8,412	23,920	6,850	9,991	23,920	6,892	7,894	23,920	6,844	7,786	23,920	6,794	6,073	23,920	6,789	4,519	23,920	6,813	9,072	23,920	6,837	8,953
23,940	6,571	5,484	23,940	6,784	3,730	23,940	6,791	8,418	23,940	6,880	3,353				23,940	6,866	8,477	23,940	6,856	9,991	23,940	6,899	7,950	23,940	6,850	7,838	23,940	6,800	6,110	23,940	6,795	4,545	23,940	6,819	9,130	23,940	6,843	9,011
23,960	6,576	5,504	23,960	6,790	3,752	23,960	6,797	8,464	23,960	6,885	3,379				23,960	6,871	8,552	23,960	6,862	9,991	23,960	6,904	8,004	23,960	6,855	7,890	23,960	6,806	6,149	23,960	6,800	4,574	23,960	6,825	9,188	23,960	6,848	9,070
23,980	6,582	5,525	23,980	6,796	3,775	23,980	6,803	8,510	23,980	6,891	3,406				23,980	6,877	8,598	23,980	6,867	9,991	23,980	6,910	8,061	23,980	6,861	7,942	23,980	6,811	6,187	23,980	6,806	4,603	23,980	6,831	9,246	23,980	6,854	9,131
24,000	6,587	5,546	24,000	6,801	3,799	24,000	6,809	8,556	24,000	6,897	3,435				24,000	6,882	8,660	24,000	6,322	8,828	24,000	6,915	8,116	24,000	6,867	7,995	24,000	6,817	6,227	24,000	6,811	4,631	24,000	6,836	9,306	24,000	6,860	9,194
24,020	6,594	5,568	24,020	6,807	3,823	24,020	6,814	8,602	24,020	6,902	3,464				24,020	6,887	8,722	24,020	0,284	0,634	24,020	6,922	8,176	24,020	6,872	8,049	24,020	6,823	6,268	24,020	6,818	4,662	24,020	6,842	9,365	24,020	6,866	9,257
24,040	6,599	5,590	24,040	6,813	3,848	24,040	6,820	8,649	24,040	6,908	3,492				24,040	6,893	8,788	24,040	0,003	-0,128	24,040	6,927	8,235	24,040	6,878	8,103	24,040	6,829	6,309	24,040	6,823	4,692	24,040	6,847	9,427	24,040	6,871	9,319
24,060	6,605	5,612	24,060	6,819	3,873	24,060	6,826	8,697	24,060	6,914	3,521				24,060	6,899	8,854	24,060	0,003	-0,123	24,060	6,933	8,292	24,060	6,883	8,159	24,060	6,834	6,350	24,060	6,829	4,723	24,060	6,853	9,490	24,060	6,876	9,383
24,080	6,610	5,635	24,080	6,824	3,897	24,080	6,831	8,745	24,080	6,919	3,550				24,080	6,905	8,921	24,080	0,003	-0,119	24,080	6,938	8,351	24,080	6,889	8,215	24,080	6,840	6,392	24,080	6,835	4,756	24,080	6,858	9,552	24,080	6,882	9,449
24,100	6,616	5,658	24,100	6,830	3,923	24,100	6,837	8,793	24,100	6,925	3,579				24,100	6,910	8,988	24,100	0,002	-0,114	24,100	6,944	8,412	24,100	6,894	8,271	24,100	6,845	6,435	24,100	6,840	4,788	24,100	6,865	9,681	24,100	6,887	9,516
24,120	6,622	5,680	24,120	6,836	3,950	24,120	6,843	8,842	24,120	6,930	3,609				24,120	6,916	9,057	24,120	0,002	-0,109	24,120	6,950	8,473	24,120	6,900	8,329	24,120	6,851	6,481	24,120	6,846	4,820	24,120	6,870	9,693	24,120	6,893	9,584
24,140	6,627	5,703	24,140	6,842	3,977	24,140	6,848	8,891	24,140	6,936	3,640				24,140	6,922	9,127	24,140	0,003	-0,104	24,140	6,956	8,534	24,140	6,906	8,387	24,140	6,857	6,527	24,140	6,852	4,853	24,140	6,875	9,744	24,140	6,899	9,650
24,160	6,633	5,728	24,160	6,847	4,005	24,160	6,854	8,942	24,160	6,942	3,671				24,160	6,927	9,196	24,160	0,003	-0,099	24,160	6,961	8,595	24,160	6,911	8,445	24,160	6,862	6,570	24,160	6,857	4,887	24,160	6,880	9,794	24,160	6,905	9,717
24,180	6,639	5,752	24,180	6,853	4,033	24,180	6,860	8,992	24,180	6,948	3,702				24,180	6,933	9,269	24,180	0,002	-0,096	24,180	6,967	8,657	24,180	6,917	8,504	24,180	6,868	6,618	24,180	6,863	4,922	24,180	6,886	9,839	24,180	6,910	9,777
24,200	6,644	5,777	24,200	6,859	4,062	24,200	6,866	9,044	24,200	6,953	3,733				24,200	6,939	9,339	24,200	0,003	-0,090	24,200	6,972	8,721	24,200	6,923	8,563	24,200	6,874	6,665	24,200	6,869	4,956	24,200	6,892	9,879	24,200	6,916	9,826
24,220	6,650	5,803	24,220	6,864	4,090	24,220	6,871	9,094	24,220	6,959	3,764				24,220	6,945	9,413	24,220	0,003	-0,087	24,220	6,978	8,785	24,220	6,928	8,623	24,220	6,879	6,712	24,220	6,874	4,992	24,220	6,897	9,913	24,220	6,921	9,870
24,240	6,656	5,828	24,240	6,869	4,120	24,240	6,876	9,145	24,240	6,965	3,796				24,240	6,950	9,489	24,240	0,003	-0,091	24,240	6,984	8,849	24,240	6,934	8,635	24,240	6,884	6,759	24,240	6,879	5,027	24,240	6,903	9,943	24,240	6,927	9,907
24,260	6,661	5,854	24,260	6,875	4,149	24,260	6,882	9,197	24,260	6,970	3,827				24,260	6,956	9,565	24,260	0,002	-0,080	24,260	6,990	8,912	24,260	6,940	8,740	24,260	6,890	6,808	24,260	6,885	5,063	24,260	6,908	9,967	24,260	6,933	9,939
24,280	6,667	5,881	24,280	6,880	4,180	24,280	6,887	9,250	24,280	6,976	3,859				24,280	6,962	9,638	24,280	0,003	-0,077	24,280	6,995	8,976	24,280	6,945	8,808	24,280	6,895	6,856	24,280	6,890	5,100	24,280	6,914	9,986	24,280	6,939	9,962
24,300	6,673	5,909	24,300	6,886	4,210	24,300	6,893	9,302	24,300	6,981	3,891				24,300	6,967	9,714	24,300	0,003	-0,074	24,300	7,001	9,041	24,300	6,951	8,870	24,300	6,902	6,907	24,300	6,896	5,136	24,300	6,920	9,992	24,300	6,944	9,981
24,320	6,679	5,936	24,320	6,892	4,242	24,320	6,899	9,355	24,320	6,988	3,924				24,320	6,973	9,777	24,320	0,002	-0,072	24,320	7,007	9,105	24,320	6,957	8,932	24,320	6,907	6,958	24,320	6,902	5,173	24,320	6,926	9,992	24,320	6,950	9,991
