Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17	Zeit (s) Messreihe #18	Spannung, Ch A (V) Messreihe #18	Spannung, Ch B (V) Messreihe #18	Zeit (s) Messreihe #19	Spannung, Ch A (V) Messreihe #19	Spannung, Ch B (V) Messreihe #19	Zeit (s) Messreihe #20	Spannung, Ch A (V) Messreihe #20	Spannung, Ch B (V) Messreihe #20	Zeit (s) Messreihe #21	Spannung, Ch A (V) Messreihe #21	Spannung, Ch B (V) Messreihe #21	Zeit (s) Messreihe #22	Spannung, Ch A (V) Messreihe #22	Spannung, Ch B (V) Messreihe #22	Zeit (s) Messreihe #23	Spannung, Ch A (V) Messreihe #23	Spannung, Ch B (V) Messreihe #23	Zeit (s) Messreihe #24	Spannung, Ch A (V) Messreihe #24	Spannung, Ch B (V) Messreihe #24	Zeit (s) Messreihe #25	Spannung, Ch A (V) Messreihe #25	Spannung, Ch B (V) Messreihe #25	Zeit (s) Messreihe #26	Spannung, Ch A (V) Messreihe #26	Spannung, Ch B (V) Messreihe #26	Zeit (s) Messreihe #27	Spannung, Ch A (V) Messreihe #27	Spannung, Ch B (V) Messreihe #27	Zeit (s) Messreihe #28	Spannung, Ch A (V) Messreihe #28	Spannung, Ch B (V) Messreihe #28	Zeit (s) Messreihe #29	Spannung, Ch A (V) Messreihe #29	Spannung, Ch B (V) Messreihe #29	Zeit (s) Messreihe #30	Spannung, Ch A (V) Messreihe #30	Spannung, Ch B (V) Messreihe #30	Zeit (s) Messreihe #31	Spannung, Ch A (V) Messreihe #31	Spannung, Ch B (V) Messreihe #31	Zeit (s) Messreihe #32	Spannung, Ch A (V) Messreihe #32	Spannung, Ch B (V) Messreihe #32	Zeit (s) Messreihe #33	Spannung, Ch A (V) Messreihe #33	Spannung, Ch B (V) Messreihe #33	Zeit (s) Messreihe #34	Spannung, Ch A (V) Messreihe #34	Spannung, Ch B (V) Messreihe #34	Zeit (s) Messreihe #35	Spannung, Ch A (V) Messreihe #35	Spannung, Ch B (V) Messreihe #35	Zeit (s) Messreihe #36	Spannung, Ch A (V) Messreihe #36	Spannung, Ch B (V) Messreihe #36
									55,500	0,003	0,038																																																										55,500	7,866	5,372																																				
									55,550	0,003	0,004																																																										55,550	7,866	5,407																																				
									55,600	0,003	0,038																																																										55,600	7,866	5,372																																				
									55,650	0,003	0,004																																																										55,650	7,866	5,406																																				
									55,700	0,003	0,038																																																										55,700	7,866	5,372																																				
									55,750	0,003	0,004																																																										55,750	7,866	5,406																																				
									55,800	0,003	0,038																																																										55,800	7,866	5,373																																				
									55,850	0,003	0,004																																																										55,850	7,866	5,406																																				
									55,900	0,003	0,038																																																										55,900	7,866	5,373																																				
									55,950	0,003	0,004																																																										55,950	7,866	5,405																																				
									56,000	0,003	0,038																																																										56,000	7,866	5,373																																				
									56,050	0,003	0,004																																																										56,050	7,866	5,406																																				
									56,100	0,003	0,038																																																										56,100	7,866	5,374																																				
									56,150	0,003	0,005																																																										56,150	7,866	5,405																																				
									56,200	0,003	0,038																																																										56,200	7,866	5,375																																				
									56,250	0,003	0,005																																																										56,250	7,866	5,406																																				
									56,300	0,003	0,038																																																										56,300	7,866	5,375																																				
									56,350	0,003	0,004																																																										56,350	7,866	5,405																																				
									56,400	0,003	0,038																																																										56,400	7,866	5,375																																				
									56,450	0,003	0,005																																																										56,450	7,866	5,405																																				
									56,500	0,003	0,038																																																										56,500	7,866	5,375																																				
									56,550	0,003	0,004																																																										56,550	7,866	5,404																																				
									56,600	0,002	0,038																																																										56,600	7,866	5,375																																				
									56,650	0,003	0,005																																																										56,650	7,866	5,404																																				
									56,700	0,003	0,038																																																										56,700	7,866	5,374																																				
									56,750	0,003	0,004																																																										56,750	7,866	5,401																																				
									56,800	0,003	0,038																																																										56,800	7,866	5,374																																				
									56,850	0,003	0,005																																																										56,850	7,866	5,401																																				
									56,900	0,003	0,038																																																										56,900	7,866	5,375																																				
									56,950	0,003	0,005																																																										56,950	7,866	5,401																																				
									57,000	0,003	0,038																																																										57,000	7,866	5,375																																				
									57,050	0,003	0,005																																																										57,050	7,866	5,400																																				
									57,100	0,003	0,038																																																										57,100	7,866	5,375																																				
									57,150	0,003	0,005																																																										57,150	7,866	5,399																																				
									57,200	0,003	0,038																																																										57,200	7,866	5,375																																				
									57,250	0,003	0,005																																																										57,250	7,866	5,398																																				
									57,300	0,003	0,038																																																										57,300	7,866	5,377																																				
									57,350	0,003	0,005																																																										57,350	7,866	5,401																																				
									57,400	0,003	0,039																																																										57,400	7,866	5,378																																				
									57,450	0,003	0,005																																																										57,450	7,866	5,401																																				
									57,500	0,003	0,038																																																										57,500	7,866	5,378																																				
									57,550	0,003	0,005																																																										57,550	7,866	5,400																																				
									57,600	0,003	0,038																																																										57,600	7,866	5,378																																				
									57,650	0,003	0,005																																																										57,650	7,866	5,399																																				
									57,700	0,003	0,038																																																										57,700	7,866	5,377																																				
									57,750	0,003	0,005																																																										57,750	7,866	5,399																																				
									57,800	0,003	0,038																																																										57,800	7,866	5,378																																				
									57,850	0,003	0,005																																																										57,850	7,866	5,397																																				
									57,900	0,003	0,038																																																										57,900	7,866	5,377																																				
									57,950	0,003	0,005																																																										57,950	7,866	5,395																																				
									58,000	0,003	0,038																																																										58,000	7,866	5,377																																				
									58,050	0,003	0,005																																																										58,050	7,866	5,394																																				
									58,100	0,003	0,038																																																										58,100	7,866	5,376																																				
									58,150	0,003	0,005																																																										58,150	7,866	5,392																																				
									58,200	0,002	0,038																																																										58,200	7,866	5,376																																				
									58,250	0,003	0,005																																																										58,250	7,866	5,393																																				
									58,300	0,002	0,038																																																										58,300	7,866	5,376																																				
									58,350	0,002	0,004																																																										58,350	7,866	5,392																																				
									58,400	0,003	0,039																																																										58,400	7,866	5,377																																				
									58,450	0,003	0,005																																																										58,450	7,866	5,392																																				
									58,500	0,002	0,038																																																										58,500	7,866	5,378																																				
									58,550	0,003	0,005																																																										58,550	7,866	5,393																																				
									58,600	0,003	0,038																																																										58,600	7,866	5,378																																				
									58,650	0,003	0,005																																																										58,650	7,866	5,392																																				
									58,700	0,003	0,038																																																										58,700	7,866	5,379																																				
									58,750	0,003	0,005																																																										58,750	7,866	5,392																																				
									58,800	0,003	0,038																																																										58,800	7,866	5,379																																				
									58,850	0,003	0,005																																																										58,850	7,866	5,391																																				
									58,900	0,003	0,038																																																										58,900	7,866	5,380																																				
									58,950	0,003	0,005																																																										58,950	7,866	5,390																																				
									59,000	0,003	0,038																																																										59,000	7,866	5,381																																				
									59,050	0,003	0,005																																																										59,050	7,866	5,390																																				
									59,100	0,003	0,038																																																										59,100	7,866	5,379																																				
									59,150	0,002	0,005																																																										59,150	7,866	5,388																																				
									59,200	0,003	0,038																																																										59,200	7,866	5,379																																				
									59,250	0,003	0,006																																																										59,250	7,866	5,389																																				
									59,300	0,003	0,038																																																										59,300	7,866	5,379																																				
									59,350	0,003	0,005																																																										59,350	7,866	5,387																																				
									59,400	0,002	0,038																																																										59,400	7,866	5,379																																				
									59,450	0,003	0,005																																																										59,450	7,866	5,387																																				
									59,500	0,002	0,038																																																										59,500	7,866	5,380																																				
									59,550	0,003	0,005																																																										59,550	7,866	5,386																																				
									59,600	0,003	0,038																																																										59,600	7,866	5,380																																				
									59,650	0,003	0,005																																																										59,650	7,866	5,387																																				
									59,700	0,002	0,038																																																										59,700	7,866	5,381																																				
									59,750	0,002	0,005																																																										59,750	7,866	5,386																																				
									59,800	0,002	0,038																																																										59,800	7,866	5,382																																				
									59,850	0,003	0,006																																																										59,850	7,866	5,388																																				
									59,900	0,002	0,038																																																										59,900	7,866	5,383																																				
									59,950	0,003	0,005																																																										59,950	7,865	5,386																																				
									60,000	0,003	0,038																																																										60,000	7,866	5,383																																				
									60,050	0,002	0,005																																																										60,050	7,866	5,386																																				
									60,100	0,003	0,038																																																										60,100	7,866	5,384																																				
									60,150	0,003	0,006																																																										60,150	7,866	5,386																																				
									60,200	0,002	0,038																																																										60,200	7,866	5,384																																				
									60,250	0,002	0,008																																																										60,250	7,866	5,384																																				
									60,300	0,003	0,045																																																										60,300	7,866	5,382																																				
									60,350	0,003	0,009																																																										60,350	7,866	5,382																																				
									60,400	0,002	0,048																																																										60,400	7,866	5,383																																				
									60,450	0,002	0,012																																																										60,450	7,866	5,383																																				
									60,500	0,003	0,040																																																										60,500	7,866	5,382																																				
									60,550	0,002	0,007																																																										60,550	7,866	5,384																																				
									60,600	0,003	0,039																																																										60,600	7,866	5,383																																				
									60,650	0,003	0,007																																																										60,650	7,866	5,382																																				
									60,700	0,003	0,043																																																										60,700	7,866	5,384																																				
									60,750	0,002	0,010																																																										60,750	7,866	5,383																																				
									60,800	0,002	0,045																																																										60,800	7,866	5,383																																				
									60,850	0,002	0,008																																																										60,850	7,866	5,382																																				
									60,900	0,003	0,044																																																										60,900	7,866	5,387																																				
									60,950	0,003	0,009																																																										60,950	7,866	5,383																																				
									61,000	0,002	0,040																																																										61,000	7,866	5,387																																				
									61,050	0,003	0,014																																																										61,050	7,866	5,383																																				
									61,100	0,002	0,039																																																										61,100	7,866	5,387																																				
									61,150	0,002	0,007																																																										61,150	7,866	5,382																																				
									61,200	0,002	0,039																																																										61,200	7,866	5,387																																				
									61,250	0,003	0,007																																																										61,250	7,866	5,382																																				
									61,300	0,002	0,039																																																										61,300	7,866	5,387																																				
									61,350	0,002	0,006																																																										61,350	7,866	5,381																																				
									61,400	0,003	0,040																																																										61,400	7,866	5,387																																				
									61,450	0,003	0,007																																																										61,450	7,866	5,382																																				
									61,500	0,002	0,039																																																										61,500	7,866	5,387																																				
									61,550	0,003	0,007																																																										61,550	7,866	5,380																																				
									61,600	0,003	0,040																																																										61,600	7,866	5,387																																				
									61,650	0,002	0,011																																																										61,650	7,866	5,381																																				
									61,700	0,003	0,044																																																										61,700	7,866	5,387																																				
									61,750	0,003	0,008																																																										61,750	7,866	5,377																																				
									61,800	0,002	0,040																																																										61,800	7,866	5,386																																				
									61,850	0,003	0,007																																																										61,850	7,866	5,378																																				
									61,900	0,003	0,041																																																										61,900	7,866	5,388																																				
									61,950	0,003	0,007																																																										61,950	7,866	5,377																																				
									62,000	0,002	0,039																																																										62,000	7,866	5,388																																				
									62,050	0,002	0,007																																																										62,050	7,866	5,377																																				
									62,100	0,003	0,039																																																										62,100	7,866	5,389																																				
									62,150	0,003	-0,001																																																										62,150	7,866	5,378																																				
									62,200	0,002	0,038																																																										62,200	7,866	5,390																																				
									62,250	0,003	0,007																																																										62,250	7,866	5,378																																				
									62,300	0,003	0,041																																																										62,300	7,866	5,390																																				
									62,350	0,002	0,007																																																										62,350	7,866	5,379																																				
									62,400	0,003	0,039																																																										62,400	7,866	5,391																																				
									62,450	0,003	0,007																																																										62,450	7,866	5,378																																				
									62,500	0,002	0,036																																																										62,500	7,866	5,393																																				
									62,550	0,003	0,007																																																										62,550	7,866	5,377																																				
									62,600	0,003	0,040																																																										62,600	7,866	5,392																																				
									62,650	0,003	0,010																																																										62,650	7,866	5,376																																				
									62,700	0,003	0,040																																																										62,700	7,866	5,391																																				
									62,750	0,003	0,008																																																										62,750	7,866	5,374																																				
									62,800	0,003	0,041																																																										62,800	7,866	5,392																																				
									62,850	0,003	0,008																																																										62,850	7,866	5,373																																				
									62,900	0,003	0,047																																																										62,900	7,866	5,391																																				
									62,950	0,003	0,009																																																										62,950	7,866	5,373																																				
									63,000	0,003	0,042																																																										63,000	7,866	5,390																																				
									63,050	0,003	0,009																																																										63,050	7,866	5,373																																				
									63,100	0,003	0,042																																																										63,100	7,866	5,391																																				
									63,150	0,003	0,009																																																										63,150	7,866	5,373																																				
									63,200	0,003	0,041																																																										63,200	7,866	5,391																																				
									63,250	0,003	0,050																																																										63,250	7,866	5,373																																				
									63,300	0,003	0,047																																																										63,300	7,866	5,394																																				
									63,350	0,003	0,010																																																										63,350	7,866	5,375																																				
									63,400	0,003	0,042																																																										63,400	7,866	5,394																																				
									63,450	0,003	0,009																																																										63,450	7,865	5,373																																				
									63,500	0,003	0,041																																																										63,500	7,866	5,393																																				
									63,550	0,003	0,009																																																										63,550	7,866	5,373																																				
									63,600	0,003	0,035																																																										63,600	7,866	5,394																																				
									63,650	0,003	0,005																																																										63,650	7,866	5,372																																				
									63,700	0,003	0,040																																																										63,700	7,866	5,395																																				
									63,750	0,003	0,009																																																										63,750	7,866	5,373																																				
									63,800	0,003	0,040																																																										63,800	7,866	5,395																																				
									63,850	0,002	0,009																																																										63,850	7,866	5,372																																				
									63,900	0,003	0,041																																																										63,900	7,866	5,394																																				
									63,950	0,003	0,009																																																										63,950	7,866	5,370																																				
									64,000	0,003	0,044																																																										64,000	7,866	5,394																																				
									64,050	0,003	0,008																																																										64,050	7,866	5,369																																				
									64,100	0,002	0,040																																																										64,100	7,866	5,394																																				
									64,150	0,003	0,008																																																										64,150	7,866	5,370																																				
									64,200	0,003	0,040																																																										64,200	7,866	5,395																																				
									64,250	0,003	0,009																																																										64,250	7,866	5,369																																				
									64,300	0,003	0,040																																																										64,300	7,866	5,395																																				
									64,350	0,002	0,010																																																										64,350	7,866	5,370																																				
									64,400	0,002	0,034																																																										64,400	7,866	5,395																																				
									64,450	0,002	0,006																																																										64,450	7,866	5,368																																				
									64,500	0,003	0,039																																																										64,500	7,866	5,396																																				
									64,550	0,003	0,007																																																										64,550	7,866	5,370																																				
									64,600	0,003	0,039																																																										64,600	7,866	5,397																																				
									64,650	0,002	0,008																																																										64,650	7,866	5,369																																				
									64,700	0,003	0,013																																																										64,700	7,866	5,397																																				
									64,750	0,003	-0,002																																																										64,750	7,866	5,367																																				
									64,800	0,003	0,038																																																										64,800	7,866	5,398																																				
									64,850	0,003	0,007																																																										64,850	7,866	5,370																																				
									64,900	0,003	0,038																																																										64,900	7,866	5,398																																				
									64,950	0,003	0,007																																																										64,950	7,866	5,369																																				
									65,000	0,003	0,038																																																										65,000	7,866	5,399																																				
									65,050	0,003	0,007																																																										65,050	7,866	5,368																																				
									65,100	0,003	0,039																																																										65,100	7,866	5,396																																				
									65,150	0,003	0,007																																																										65,150	7,866	5,366																																				
									65,200	0,003	0,039																																																										65,200	7,866	5,397																																				
									65,250	0,003	0,008																																																										65,250	7,866	5,367																																				
									65,300	0,003	0,039																																																										65,300	7,866	5,397																																				
									65,350	0,003	0,008																																																										65,350	7,866	5,366																																				
									65,400	0,003	0,040																																																										65,400	7,866	5,398																																				
									65,450	0,003	0,020																																																										65,450	7,866	5,365																																				
									65,500	0,002	0,040																																																										65,500	7,866	5,399																																				
									65,550	0,002	0,009																																																										65,550	7,866	5,365																																				
									65,600	0,002	0,039																																																										65,600	7,866	5,399																																				
									65,650	0,002	0,008																																																										65,650	7,866	5,366																																				
									65,700	0,003	0,038																																																										65,700	6,196	5,583																																				
									65,750	0,003	0,008																																																										65,750	0,003	-0,129																																				
									65,800	0,002	0,035																																																										65,800	0,002	-0,114																																				
									65,850	0,003	0,003																																																										65,850	0,003	-0,105																																				
									65,900	0,003	0,039																																																										65,900	0,002	-0,086																																				
									65,950	0,003	0,008																																																										65,950	0,002	-0,086																																				
									66,000	0,002	0,039																																																										66,000	0,003	-0,067																																				
									66,050	0,003	0,008																																																										66,050	0,003	-0,072																																				
									66,100	0,003	0,039																																																										66,100	0,003	-0,055																																				
									66,150	0,003	0,008																																																										66,150	0,002	-0,064																																				
									66,200	0,002	0,036																																																										66,200	0,003	-0,046																																				
									66,250	0,002	0,008																																																										66,250	0,003	-0,057																																				
									66,300	0,003	0,038																																																										66,300	0,003	-0,041																																				
									66,350	0,003	0,008																																																										66,350	0,003	-0,052																																				
									66,400	0,002	0,039																																																										66,400	0,003	-0,035																																				
									66,450	0,003	0,008																																																										66,450	0,003	-0,047																																				
									66,500	0,003	0,039																																																										66,500	0,003	-0,030																																				
									66,550	0,003	0,008																																																										66,550	0,003	-0,043																																				
									66,600	0,002	0,039																																																										66,600	0,003	-0,026																																				
									66,650	0,003	0,008																																																										66,650	0,003	-0,040																																				
									66,700	0,003	0,039																																																										66,700	0,003	-0,023																																				
									66,750	0,003	0,008																																																										66,750	0,003	-0,037																																				
									66,800	0,003	0,039																																																										66,800	0,003	-0,020																																				
									66,850	0,003	0,008																																																										66,850	0,003	-0,035																																				
									66,900	0,003	0,039																																																										66,900	0,002	-0,018																																				
									66,950	0,003	0,008																																																										66,950	0,003	-0,034																																				
									67,000	0,003	0,039																																																										67,000	0,003	-0,016																																				
									67,050	0,003	0,008																																																										67,050	0,003	-0,032																																				
									67,100	0,002	0,038																																																										67,100	0,003	-0,013																																				
									67,150	0,003	0,008																																																										67,150	0,003	-0,030																																				
									67,200	0,003	0,039																																																										67,200	0,003	-0,012																																				
									67,250	0,003	0,008																																																										67,250	0,003	-0,029																																				
									67,300	0,003	0,039																																																										67,300	0,003	-0,010																																				
									67,350	0,003	0,008																																																										67,350	0,003	-0,028																																				
									67,400	0,003	0,039																																																										67,400	0,002	-0,009																																				
									67,450	0,003	0,008																																																										67,450	0,003	-0,026																																				
									67,500	0,003	0,039																																																										67,500	0,003	-0,007																																				
									67,550	0,002	0,008																																																										67,550	0,003	-0,025																																				
									67,600	0,003	0,039																																																										67,600	0,003	-0,006																																				
									67,650	0,003	0,009																																																										67,650	0,002	-0,025																																				
									67,700	0,003	0,039																																																										67,700	0,003	-0,005																																				
									67,750	0,003	0,009																																																										67,750	0,003	-0,023																																				
									67,800	0,002	0,039																																																										67,800	0,003	-0,003																																				
									67,850	0,002	0,008																																																										67,850	0,003	-0,022																																				
									67,900	0,002	0,039																																																										67,900	0,003	-0,002																																				
									67,950	0,002	0,008																																																										67,950	0,003	-0,022																																				
									68,000	0,002	0,039																																																										68,000	0,003	-0,001																																				
									68,050	0,003	0,009																																																										68,050	0,003	-0,022																																				
									68,100	0,003	0,039																																																										68,100	0,003	-4,028E-4																																				
									68,150	0,003	0,009																																																										68,150	0,003	-0,021																																				
									68,200	0,003	0,039																																																										68,200	0,003	4,175E-4																																				
									68,250	0,003	0,009																																																										68,250	0,003	-0,021																																				
									68,300	0,003	0,038																																																										68,300	0,003	0,001																																				
									68,350	0,003	0,009																																																										68,350	0,003	-0,020																																				
									68,400	0,003	0,038																																																										68,400	0,003	0,002																																				
									68,450	0,003	0,009																																																										68,450	0,003	-0,019																																				
									68,500	0,002	0,038																																																										68,500	0,003	0,003																																				
									68,550	0,003	0,008																																																										68,550	0,002	-0,019																																				
									68,600	0,002	0,038																																																										68,600	0,003	0,004																																				
									68,650	0,003	0,010																																																																																																
									68,700	0,003	0,039																																																																																																
									68,750	0,003	0,009																																																																																																
									68,800	0,003	0,039																																																																																																
									68,850	0,003	0,009																																																																																																
									68,900	0,002	0,038																																																																																																
									68,950	0,003	0,009																																																																																																
									69,000	0,002	0,039																																																																																																
									69,050	0,002	0,009																																																																																																
									69,100	0,002	0,038																																																																																																
									69,150	0,003	0,009																																																																																																
									69,200	0,003	0,039																																																																																																
									69,250	0,002	0,009																																																																																																
									69,300	0,002	0,039																																																																																																
									69,350	0,003	0,009																																																																																																
									69,400	0,002	0,038																																																																																																
									69,450	0,002	0,009																																																																																																
									69,500	0,003	0,038																																																																																																
									69,550	0,003	0,009																																																																																																
									69,600	0,002	0,038																																																																																																
									69,650	0,002	0,009																																																																																																
									69,700	0,003	0,039																																																																																																
									69,750	0,002	0,009																																																																																																
									69,800	0,003	0,038																																																																																																
									69,850	0,003	0,009																																																																																																
									69,900	0,002	0,038																																																																																																
									69,950	0,002	0,009																																																																																																
									70,000	0,003	0,038																																																																																																
									70,050	0,003	0,009																																																																																																
									70,100	0,003	0,039																																																																																																
									70,150	0,003	0,009																																																																																																
									70,200	0,002	0,038																																																																																																
									70,250	0,003	0,010																																																																																																
									70,300	0,003	0,039																																																																																																
									70,350	0,002	0,009																																																																																																
									70,400	0,002	0,038																																																																																																
									70,450	0,003	0,010																																																																																																
									70,500	0,003	0,038																																																																																																
									70,550	0,003	0,010																																																																																																
									70,600	0,002	0,038																																																																																																
									70,650	0,003	0,010																																																																																																
									70,700	0,003	0,038																																																																																																
									70,750	0,002	0,009																																																																																																
									70,800	0,002	0,038																																																																																																
									70,850	0,003	0,010																																																																																																
									70,900	0,003	0,038																																																																																																
									70,950	0,003	0,010																																																																																																
									71,000	0,002	0,038																																																																																																
									71,050	0,002	0,010																																																																																																
									71,100	0,003	0,038																																																																																																
									71,150	0,002	0,010																																																																																																
									71,200	0,002	0,038																																																																																																
									71,250	0,002	0,010																																																																																																
									71,300	0,002	0,038																																																																																																
									71,350	0,002	0,010																																																																																																
									71,400	0,002	0,038																																																																																																
									71,450	0,003	0,010																																																																																																
									71,500	0,002	0,038																																																																																																
									71,550	0,002	0,010																																																																																																
									71,600	0,002	0,038																																																																																																
									71,650	0,003	0,010																																																																																																
									71,700	0,002	0,037																																																																																																
									71,750	0,002	0,010																																																																																																
